0,1,2,3,4,5
government official/diplomat,RU,103-843-7131,compromised,2011-07-06,2034-02-16
corporate executive,CN,326-479-2051,emergency extraction,2016-12-30,2023-02-21
food/culinary expert,SI,521-117-4785,infiltration,2017-05-25,2033-09-06
business consultant,US,314-420-4171,infiltration,2019-12-25,2026-09-26
construction worker/engineer,CN,696-683-9453,burned,2007-10-23,2033-09-18
law enforcement officer,GR,244-236-5993,under surveillance,2020-03-03,2030-08-09
journalist/reporter,AR,973-388-2837,infiltration,2016-10-09,2031-07-30
social media influencer,CZ,938-721-4341,deep cover,2023-03-06,2034-05-22
travel blogger/reviewer,CN,931-372-1519,emergency extraction,2009-11-23,2029-05-01
journalist/reporter,TH,579-918-4765,inactive,2016-02-21,2028-06-16
construction worker/engineer,RU,270-834-8851,under surveillance,2022-06-28,2029-04-17
journalist/reporter,BR,628-485-6432,deep cover,2019-02-06,2025-12-19
medical professional,GR,475-830-4624,under surveillance,2023-08-03,2032-03-05
medical professional,ID,464-216-1017,under surveillance,2016-03-07,2024-03-23
academic researcher,EC,784-763-7530,infiltration,2016-08-04,2029-10-27
social media influencer,ID,107-364-7695,active,2018-09-23,2025-03-16
tourist/traveler,CN,460-244-5463,under review,2023-05-07,2033-11-11
social media influencer,NG,215-623-2692,active,2010-04-14,2025-07-08
corporate executive,ID,406-230-7236,infiltration,2010-04-17,2033-11-30
humanitarian worker,RU,246-231-3106,burned,2011-03-29,2024-05-23
government official/diplomat,PH,104-494-8856,emergency extraction,2016-04-17,2025-04-09
medical professional,CM,203-289-7120,active,2007-08-06,2032-01-16
medical professional,YE,416-652-6916,emergency extraction,2010-02-14,2030-06-04
tech entrepreneur,FR,125-361-8541,deep cover,2004-06-20,2028-01-13
academic researcher,SE,899-886-6763,active,2010-06-21,2028-10-01
humanitarian worker,PA,372-702-4745,burned,2009-05-06,2023-07-29
freelance photographer,PK,782-633-8875,burned,2004-11-28,2033-08-04
construction worker/engineer,PH,608-527-1011,active,2022-08-15,2027-05-16
travel blogger/reviewer,PL,767-346-8835,under review,2014-03-14,2027-02-22
corporate executive,BD,845-780-1847,infiltration,2004-06-10,2025-10-11
entertainment insider,SE,290-432-1796,infiltration,2005-01-28,2031-11-25
arts connoisseur,UY,749-911-2845,active,2014-09-23,2029-02-15
business consultant,AF,427-365-9238,infiltration,2011-06-21,2023-11-02
corporate executive,SE,992-538-5696,under surveillance,2022-04-02,2028-02-13
freelance photographer,FI,680-521-3885,infiltration,2016-01-14,2033-08-13
tech entrepreneur,PH,736-467-3919,burned,2018-05-25,2024-10-28
entertainment insider,JM,285-955-3972,under review,2009-08-31,2027-02-08
tech entrepreneur,HR,931-567-9427,infiltration,2018-05-05,2034-06-19
tech entrepreneur,US,302-991-4753,infiltration,2009-04-28,2026-10-06
tech entrepreneur,CI,789-888-6214,deep cover,2006-12-29,2033-07-04
arts connoisseur,NP,674-774-9952,active,2004-02-26,2026-09-17
