0,1,2,3,4,5
tech entrepreneur,CZ,405-536-7668,under review,2004-08-31,2023-07-04
corporate executive,GR,521-409-5415,inactive,2022-09-16,2023-12-16
arts connoisseur,PE,105-936-3300,under surveillance,2015-10-02,2033-06-20
social media influencer,CN,686-745-7021,inactive,2012-01-10,2034-10-29
tech entrepreneur,NG,120-378-9198,infiltration,2015-02-02,2024-03-27
humanitarian worker,CO,507-586-3554,under surveillance,2005-01-10,2027-06-25
tech entrepreneur,MX,633-198-5193,burned,2009-08-14,2032-11-28
government official/diplomat,CM,956-309-4267,active,2013-06-05,2032-07-24
finance/investment analyst,CN,632-331-4487,deep cover,2011-10-26,2032-04-03
business consultant,PH,798-609-8549,active,2018-08-20,2023-11-14
travel blogger/reviewer,CN,459-331-8458,inactive,2014-04-06,2024-10-21
humanitarian worker,PT,482-630-1945,infiltration,2023-05-25,2034-06-30
law enforcement officer,ID,922-884-4026,compromised,2015-08-05,2031-08-29
medical professional,FR,377-123-3076,under development,2017-06-08,2025-08-17
social media influencer,FR,838-740-8024,burned,2006-10-22,2029-10-28
finance/investment analyst,RS,706-286-1096,infiltration,2020-10-18,2032-11-29
social media influencer,JP,206-766-9094,infiltration,2007-09-24,2033-03-23
entertainment insider,CN,179-640-2158,under development,2018-10-23,2024-10-05
entertainment insider,CO,810-258-0187,active,2009-05-18,2029-10-09
finance/investment analyst,IL,501-913-4012,compromised,2015-03-21,2026-02-27
food/culinary expert,RU,522-523-7529,infiltration,2004-04-05,2028-06-12
humanitarian worker,PL,561-674-5500,emergency extraction,2013-04-17,2023-09-18
business consultant,US,949-757-7580,active,2021-09-27,2029-11-17
security specialist,CN,625-363-9616,under surveillance,2015-12-18,2030-03-04
tourist/traveler,PL,915-348-0273,deep cover,2019-09-05,2030-06-17
corporate executive,AR,924-908-0464,compromised,2015-01-13,2032-09-10
tourist/traveler,IE,599-330-7697,deep cover,2018-08-16,2026-06-11
construction worker/engineer,NO,346-475-4772,burned,2010-01-20,2030-02-22
arts connoisseur,TN,274-469-2617,under review,2009-10-17,2030-12-27
government official/diplomat,CN,112-731-4063,emergency extraction,2020-01-02,2030-06-02
construction worker/engineer,GN,470-161-4656,inactive,2020-12-15,2028-11-07
business consultant,FR,450-594-6886,compromised,2019-11-10,2028-04-08
social media influencer,RU,225-234-8612,under surveillance,2021-09-02,2029-05-29
tech entrepreneur,DO,254-683-1690,under surveillance,2008-11-13,2025-06-14
construction worker/engineer,PH,616-222-1485,burned,2009-11-15,2032-04-07
finance/investment analyst,VN,405-358-9563,deep cover,2006-01-01,2028-09-19
tech entrepreneur,RU,991-805-0664,under surveillance,2016-01-26,2028-08-17
business consultant,FR,860-846-8680,burned,2018-01-30,2033-12-04
travel blogger/reviewer,MU,463-864-0068,under development,2023-06-03,2033-01-10
tech entrepreneur,PH,167-817-5081,inactive,2004-04-25,2034-08-14
tourist/traveler,CO,651-425-8408,infiltration,2015-05-16,2027-03-26
entertainment insider,SA,848-758-6887,emergency extraction,2021-03-25,2034-09-20
food/culinary expert,CL,986-322-4590,under review,2018-09-10,2023-01-29
security specialist,PH,387-859-6612,under review,2015-12-09,2031-06-26
medical professional,JP,415-361-3568,burned,2016-01-20,2033-05-18
construction worker/engineer,PH,621-518-0605,emergency extraction,2013-01-05,2029-08-16
travel blogger/reviewer,PT,992-139-0814,under review,2006-12-04,2029-07-22
social media influencer,CN,519-493-3585,under surveillance,2005-02-16,2027-06-10
business consultant,PT,506-228-3205,compromised,2018-10-14,2028-12-16
tech entrepreneur,MK,384-210-3467,compromised,2019-12-21,2034-03-05
entertainment insider,CN,718-183-6984,burned,2023-09-14,2030-02-07
journalist/reporter,GE,499-683-3198,under review,2012-07-20,2030-03-10
law enforcement officer,MG,485-347-3782,burned,2017-07-23,2033-08-12
business consultant,PT,228-211-3671,infiltration,2014-02-24,2024-03-30
business consultant,FR,601-969-8028,burned,2009-06-10,2032-07-21
humanitarian worker,JM,946-873-0297,under surveillance,2014-05-31,2027-05-18
environmental activist,ID,577-620-7526,deep cover,2020-04-21,2024-03-30
law enforcement officer,CN,662-378-5305,burned,2020-03-07,2034-01-23
freelance photographer,AF,723-199-2061,inactive,2010-02-04,2033-08-24
tech entrepreneur,PT,304-980-1631,under surveillance,2006-02-09,2026-01-09
travel blogger/reviewer,RU,156-337-3646,active,2019-01-21,2028-12-24
law enforcement officer,MT,528-671-1021,infiltration,2008-09-12,2025-03-08
tech entrepreneur,ID,291-994-8690,emergency extraction,2005-01-23,2033-11-23
food/culinary expert,CN,275-140-6397,compromised,2008-09-23,2029-12-12
business consultant,KE,980-958-0812,inactive,2021-05-13,2033-03-31
government official/diplomat,PT,821-315-4548,burned,2008-08-04,2031-08-21
environmental activist,BA,344-309-7134,infiltration,2008-06-22,2026-05-14
humanitarian worker,CN,544-306-0824,inactive,2006-01-26,2027-01-26
arts connoisseur,ID,645-145-3264,infiltration,2005-09-13,2024-02-27
corporate executive,RU,173-134-1829,compromised,2006-06-08,2027-05-13
corporate executive,SE,464-590-0203,emergency extraction,2019-07-03,2026-04-30
environmental activist,PG,764-913-9819,deep cover,2016-03-09,2028-07-13
tech entrepreneur,US,386-556-6921,deep cover,2012-04-10,2033-01-29
tech entrepreneur,ZA,563-827-8621,under development,2007-11-11,2027-12-27
law enforcement officer,FR,618-842-6904,emergency extraction,2016-12-07,2029-09-10
corporate executive,US,571-486-1125,active,2005-04-01,2030-09-28
freelance photographer,TH,143-569-6548,deep cover,2019-04-26,2031-10-14
tech entrepreneur,PL,920-958-6543,deep cover,2010-09-25,2025-10-05
tech entrepreneur,ID,703-662-7981,under surveillance,2010-07-30,2025-04-13
security specialist,SE,500-426-5160,deep cover,2023-05-24,2023-09-30
food/culinary expert,CN,732-613-6865,burned,2009-05-03,2031-03-09
corporate executive,PH,655-622-4238,deep cover,2020-10-29,2024-05-14
food/culinary expert,BR,594-879-6846,under review,2019-04-04,2024-11-11
tourist/traveler,FR,100-651-7116,active,2006-08-01,2027-09-18
finance/investment analyst,TN,792-778-6613,under surveillance,2013-07-08,2024-02-07
tourist/traveler,ES,916-865-8331,under development,2006-12-24,2025-06-12
business consultant,ID,915-627-1956,under review,2006-08-11,2031-10-02
law enforcement officer,FR,476-252-9405,burned,2018-01-17,2031-01-02
environmental activist,PL,953-676-7373,deep cover,2019-02-27,2024-01-13
environmental activist,HR,695-951-0942,compromised,2018-10-30,2028-02-02
tech entrepreneur,JP,669-642-8860,under review,2012-04-01,2025-06-17
tech entrepreneur,FR,431-632-5310,under surveillance,2013-05-25,2030-12-04
travel blogger/reviewer,HN,702-102-2804,under surveillance,2023-01-27,2023-09-21
journalist/reporter,FR,624-953-5645,active,2012-01-10,2029-02-05
tourist/traveler,MN,373-278-4728,infiltration,2006-10-15,2031-08-01
construction worker/engineer,ZA,560-133-9714,deep cover,2011-11-19,2026-09-21
tourist/traveler,ID,641-512-1164,under surveillance,2012-12-07,2024-06-29
medical professional,ID,516-204-2016,compromised,2019-10-23,2032-02-02
security specialist,US,503-128-6815,active,2006-07-11,2025-10-23
government official/diplomat,VE,242-948-4856,infiltration,2008-07-10,2033-01-31
food/culinary expert,CN,241-418-8834,burned,2015-05-07,2027-02-05
humanitarian worker,GT,265-659-4069,inactive,2012-02-14,2029-05-24
corporate executive,PH,494-615-6197,inactive,2011-07-26,2027-11-05
corporate executive,RU,563-161-4602,burned,2004-08-13,2029-11-24
tourist/traveler,CM,677-945-8551,deep cover,2022-03-09,2024-03-14
freelance photographer,US,425-947-8733,under development,2013-04-06,2029-02-23
arts connoisseur,FR,136-625-4791,under surveillance,2023-03-21,2028-03-06
social media influencer,MG,819-455-8725,deep cover,2004-03-08,2033-04-14
travel blogger/reviewer,CN,999-488-1730,under review,2023-01-07,2024-09-30
finance/investment analyst,FR,800-606-9925,deep cover,2013-09-25,2028-04-27
freelance photographer,RU,172-768-0751,under surveillance,2017-04-06,2026-10-08
security specialist,SE,433-111-5889,emergency extraction,2006-06-11,2027-08-26
corporate executive,CW,815-166-6393,deep cover,2010-12-13,2034-05-11
food/culinary expert,US,714-966-4227,compromised,2004-08-09,2024-05-16
tech entrepreneur,CN,831-642-7605,emergency extraction,2013-12-08,2032-04-25
humanitarian worker,CN,205-216-2614,deep cover,2011-09-21,2030-03-12
freelance photographer,ID,153-690-9268,infiltration,2018-10-07,2030-10-30
social media influencer,CN,278-899-0687,under surveillance,2013-10-15,2025-02-20
medical professional,CN,912-423-6044,active,2015-11-06,2030-10-19
law enforcement officer,PL,692-509-5051,inactive,2014-11-21,2027-11-08
tourist/traveler,EC,888-999-6267,infiltration,2019-04-02,2023-08-25
freelance photographer,NO,261-227-7525,under review,2016-09-13,2030-07-27
humanitarian worker,ID,445-466-4845,under review,2013-03-12,2032-04-14
business consultant,JP,432-187-9483,compromised,2016-06-29,2027-10-14
travel blogger/reviewer,AU,936-621-9116,infiltration,2011-03-23,2027-01-19
medical professional,CN,893-650-4107,compromised,2013-08-10,2027-07-13
finance/investment analyst,SE,558-292-3483,emergency extraction,2020-04-22,2034-09-13
social media influencer,CN,901-742-0081,compromised,2016-05-20,2031-11-04
medical professional,PL,104-973-9165,active,2011-09-04,2023-10-26
business consultant,CZ,164-594-7978,infiltration,2014-05-06,2030-02-03
government official/diplomat,CN,842-767-2058,deep cover,2011-02-15,2028-11-07
government official/diplomat,PL,169-936-9228,burned,2016-09-18,2025-07-07
academic researcher,SE,946-337-2349,under review,2015-05-06,2029-10-14
finance/investment analyst,ID,346-859-4938,under development,2009-08-29,2024-03-03
government official/diplomat,ID,783-183-9059,under review,2010-04-05,2024-04-11
academic researcher,CO,791-330-9953,burned,2010-04-27,2030-08-16
humanitarian worker,ID,591-797-6371,deep cover,2023-01-15,2029-07-02
security specialist,CZ,519-757-3092,compromised,2019-05-03,2023-02-27
freelance photographer,CN,167-857-8379,active,2006-10-15,2035-01-02
journalist/reporter,BR,347-850-1766,compromised,2019-09-22,2030-06-13
humanitarian worker,US,815-188-4170,compromised,2010-02-08,2034-01-13
corporate executive,PH,289-488-1929,burned,2022-02-08,2024-06-13
medical professional,CZ,651-315-3717,emergency extraction,2006-06-04,2025-05-10
food/culinary expert,CN,284-696-1201,infiltration,2013-11-15,2026-06-09
tourist/traveler,CN,705-376-6641,burned,2010-12-11,2033-08-25
academic researcher,ID,822-951-7648,under review,2012-06-17,2026-04-23
arts connoisseur,TH,471-968-7745,active,2008-11-08,2031-01-03
corporate executive,CN,386-492-7032,deep cover,2006-10-08,2029-01-19
tourist/traveler,CN,493-103-5268,under development,2008-07-08,2024-09-13
medical professional,PS,457-656-1526,under development,2006-06-10,2029-11-19
construction worker/engineer,BR,223-344-6277,emergency extraction,2008-02-08,2028-08-22
medical professional,VN,951-586-9642,burned,2017-02-25,2027-11-10
business consultant,PT,511-232-8950,active,2007-07-05,2029-04-10
humanitarian worker,NI,584-750-1830,burned,2005-05-27,2023-12-23
law enforcement officer,CN,215-155-3621,active,2010-02-09,2023-05-26
tourist/traveler,CN,477-949-9086,inactive,2011-04-15,2032-02-01
government official/diplomat,JP,310-293-9311,deep cover,2008-02-15,2031-07-27
social media influencer,AZ,737-845-4604,emergency extraction,2010-03-06,2030-08-17
government official/diplomat,RU,669-848-8273,deep cover,2017-01-03,2032-04-11
security specialist,TH,550-551-1121,active,2023-01-28,2028-05-08
government official/diplomat,PH,711-671-8436,under development,2005-07-16,2028-09-13
law enforcement officer,US,256-368-1690,emergency extraction,2020-08-28,2027-07-16
travel blogger/reviewer,JP,871-736-5800,burned,2015-10-08,2031-10-04
academic researcher,ID,142-527-9876,under review,2015-11-25,2028-04-10
security specialist,ZA,356-723-8689,under surveillance,2014-07-28,2027-05-05
medical professional,CN,622-140-3637,burned,2011-10-04,2033-09-15
environmental activist,ID,746-568-5083,burned,2020-03-29,2033-09-07
government official/diplomat,RU,323-957-0994,compromised,2012-11-27,2031-07-30
travel blogger/reviewer,ID,204-617-1751,burned,2020-07-02,2029-06-18
tech entrepreneur,PH,787-141-0845,deep cover,2018-06-21,2029-04-20
environmental activist,TH,614-111-9914,compromised,2022-05-08,2025-10-21
security specialist,CN,498-966-6346,infiltration,2014-01-19,2027-02-07
entertainment insider,AR,464-696-9418,active,2018-12-17,2027-05-06
tourist/traveler,PK,375-927-0116,infiltration,2013-01-06,2033-07-08
finance/investment analyst,MN,970-439-2629,inactive,2020-07-19,2032-11-22
academic researcher,ID,873-983-9594,under review,2011-04-09,2024-04-26
security specialist,BA,347-272-1980,compromised,2020-09-23,2030-03-29
construction worker/engineer,RU,572-973-8329,emergency extraction,2012-07-30,2030-08-01
government official/diplomat,AR,333-496-2142,emergency extraction,2022-01-19,2024-02-02
journalist/reporter,NL,142-178-5935,infiltration,2012-04-05,2032-09-12
social media influencer,BR,640-698-3341,emergency extraction,2021-08-08,2025-10-25
tech entrepreneur,ZA,708-308-9371,infiltration,2017-03-10,2026-07-15
business consultant,RU,378-945-1758,under development,2013-07-09,2030-05-08
academic researcher,ID,660-809-6368,active,2020-05-24,2028-05-29
security specialist,FR,965-222-1930,emergency extraction,2020-10-19,2034-12-04
academic researcher,CN,865-366-3388,deep cover,2007-02-13,2031-06-05
humanitarian worker,IT,204-122-3303,under development,2004-11-24,2034-10-23
law enforcement officer,NL,550-382-5211,under development,2008-03-21,2025-08-05
medical professional,CN,680-364-7060,under surveillance,2023-07-03,2026-10-30
security specialist,CN,218-811-0186,under development,2016-12-03,2033-01-08
entertainment insider,CA,400-249-5517,under development,2019-12-09,2031-04-17
entertainment insider,PT,554-911-8784,under development,2019-08-07,2029-08-31
construction worker/engineer,SE,330-777-5613,burned,2009-11-17,2023-10-19
medical professional,ID,604-822-9290,inactive,2016-05-02,2030-04-11
academic researcher,CN,677-871-3492,emergency extraction,2012-01-02,2033-01-06
travel blogger/reviewer,CN,411-745-6184,active,2011-01-27,2033-12-26
finance/investment analyst,PA,435-919-6057,under development,2005-04-24,2030-03-10
social media influencer,ID,578-759-0591,compromised,2009-04-15,2032-04-20
journalist/reporter,CN,895-756-0449,inactive,2021-11-09,2030-01-13
construction worker/engineer,CN,231-929-0969,emergency extraction,2014-11-25,2031-09-02
arts connoisseur,ID,899-760-1189,active,2006-09-12,2034-03-18
