0,1,2,3,4,5
social media influencer,IR,316-814-1011,deep cover,2013-09-04,2033-11-09
construction worker/engineer,CA,679-508-4172,under development,2019-10-10,2027-11-27
humanitarian worker,CN,616-934-9701,emergency extraction,2016-02-05,2025-01-01
finance/investment analyst,CN,876-176-7949,emergency extraction,2015-01-14,2032-01-26
tech entrepreneur,FR,214-627-2109,inactive,2021-05-13,2028-09-08
arts connoisseur,HN,371-155-3446,deep cover,2019-10-24,2025-11-19
travel blogger/reviewer,CN,868-518-7165,active,2005-04-15,2025-09-15
finance/investment analyst,CA,572-908-8934,under surveillance,2020-07-14,2026-12-18
environmental activist,PH,257-215-9815,emergency extraction,2016-03-03,2027-04-10
finance/investment analyst,FR,173-334-3935,under review,2005-05-12,2027-06-15
entertainment insider,JP,517-239-6713,deep cover,2019-09-09,2027-12-31
journalist/reporter,JP,435-349-4752,under development,2008-03-08,2034-09-16
travel blogger/reviewer,NI,363-213-6875,active,2010-12-28,2025-08-22
medical professional,CN,758-325-1575,compromised,2014-11-25,2031-04-07
academic researcher,KZ,587-155-6837,under review,2020-11-24,2023-02-28
government official/diplomat,PL,373-985-5778,deep cover,2020-09-25,2029-09-05
environmental activist,ID,856-577-4089,deep cover,2022-01-05,2028-07-04
corporate executive,CZ,171-419-4353,active,2009-03-23,2026-09-23
freelance photographer,FI,956-697-7518,emergency extraction,2017-11-14,2031-05-30
entertainment insider,AR,694-612-2454,emergency extraction,2006-03-11,2029-11-21
tech entrepreneur,CN,950-204-8569,under surveillance,2007-11-29,2024-01-28
environmental activist,PH,386-741-5991,under surveillance,2008-12-22,2031-07-18
tech entrepreneur,US,413-755-3723,inactive,2019-11-29,2031-10-08
travel blogger/reviewer,CZ,988-564-7668,under surveillance,2016-09-10,2034-07-15
academic researcher,PL,516-538-9212,infiltration,2017-10-31,2028-11-21
tourist/traveler,CN,688-944-3364,under development,2023-07-19,2030-06-09
corporate executive,ID,369-493-6527,emergency extraction,2021-05-22,2027-04-29
environmental activist,CN,708-976-0957,infiltration,2018-07-25,2027-10-19
arts connoisseur,ID,718-948-0334,deep cover,2019-08-17,2032-09-18
tourist/traveler,PH,453-738-3766,emergency extraction,2023-07-07,2026-03-21
academic researcher,DE,255-974-5210,emergency extraction,2022-07-24,2032-11-14
construction worker/engineer,CN,585-731-1129,infiltration,2009-01-16,2034-03-11
freelance photographer,ID,952-921-9103,under surveillance,2020-03-17,2028-09-11
corporate executive,FR,132-171-2916,active,2008-06-30,2034-04-12
government official/diplomat,ID,789-278-8910,under surveillance,2019-06-09,2026-09-17
food/culinary expert,RU,770-984-3023,deep cover,2022-07-05,2026-04-26
freelance photographer,RU,208-448-0190,under surveillance,2008-03-17,2023-07-17
humanitarian worker,CN,800-198-7089,active,2009-06-18,2025-08-25
social media influencer,PH,130-722-8171,infiltration,2006-06-05,2029-03-02
tech entrepreneur,ID,297-848-9262,compromised,2023-09-16,2030-01-28
finance/investment analyst,CR,709-873-0454,infiltration,2020-03-27,2025-08-25
tourist/traveler,CN,712-759-9383,under development,2016-01-21,2026-09-27
tourist/traveler,CZ,755-798-8027,emergency extraction,2019-06-07,2023-08-05
journalist/reporter,PL,954-929-2060,under development,2023-11-15,2026-03-04
humanitarian worker,BR,541-120-1747,active,2009-07-15,2029-05-30
academic researcher,YE,326-580-3324,under development,2018-02-20,2034-03-16
government official/diplomat,JM,787-513-3478,active,2009-03-01,2033-06-01
tech entrepreneur,RU,857-135-7951,under review,2017-05-01,2027-02-08
finance/investment analyst,PH,944-233-2144,emergency extraction,2018-07-02,2031-08-18
business consultant,MN,500-630-3015,burned,2021-09-06,2029-01-26
food/culinary expert,PH,909-205-9554,deep cover,2007-11-25,2032-01-24
tourist/traveler,FR,271-329-4925,under surveillance,2023-03-30,2024-05-07
journalist/reporter,CN,904-912-4848,infiltration,2009-12-14,2030-01-27
academic researcher,US,480-773-8377,inactive,2015-05-03,2027-10-28
freelance photographer,AR,962-215-0944,infiltration,2013-02-19,2033-05-12
entertainment insider,GR,946-848-7461,infiltration,2005-05-06,2032-06-26
journalist/reporter,PH,560-706-2921,compromised,2004-10-02,2028-12-30
arts connoisseur,CN,893-569-6586,compromised,2004-09-20,2033-03-28
entertainment insider,BY,178-602-7929,active,2010-07-19,2033-02-21
academic researcher,PA,246-534-9385,active,2012-09-23,2028-03-20
travel blogger/reviewer,ID,590-221-6938,under surveillance,2018-03-25,2029-11-30
corporate executive,GR,730-137-9493,emergency extraction,2022-08-03,2033-03-04
academic researcher,AM,725-362-0676,under development,2021-12-16,2031-05-06
tech entrepreneur,ID,516-675-8786,under development,2011-08-14,2027-02-04
business consultant,CN,832-926-5097,inactive,2021-03-14,2030-02-18
humanitarian worker,RU,632-599-3357,under development,2020-05-11,2033-09-21
security specialist,CN,885-362-8265,emergency extraction,2023-04-11,2031-08-03
corporate executive,CN,572-113-6800,under review,2013-05-22,2028-07-19
finance/investment analyst,US,858-802-7591,compromised,2012-01-17,2024-04-07
medical professional,ID,105-434-9391,deep cover,2010-12-18,2031-05-10
academic researcher,PH,209-957-1524,under surveillance,2004-11-05,2027-01-01
entertainment insider,BR,711-336-7365,active,2016-07-06,2032-02-10
food/culinary expert,RU,428-539-4589,infiltration,2021-02-14,2028-03-08
arts connoisseur,CN,430-851-3395,burned,2012-08-21,2028-07-08
security specialist,PL,569-423-3750,deep cover,2023-07-29,2023-03-10
arts connoisseur,CF,904-313-4095,active,2009-02-16,2032-12-14
freelance photographer,GB,832-112-4088,compromised,2008-08-23,2030-06-27
social media influencer,MX,292-662-6588,infiltration,2019-08-02,2030-11-20
medical professional,CN,568-143-9130,deep cover,2017-12-20,2026-12-25
security specialist,FR,114-323-5217,infiltration,2017-03-20,2030-03-17
humanitarian worker,ID,506-279-8104,inactive,2020-11-23,2034-04-02
food/culinary expert,CN,613-619-4880,active,2005-06-24,2027-08-13
travel blogger/reviewer,PH,694-749-8667,emergency extraction,2018-01-21,2029-07-12
entertainment insider,CN,398-469-1131,active,2021-11-29,2029-02-14
corporate executive,CO,354-725-5930,inactive,2010-11-25,2029-05-30
security specialist,PH,729-988-2260,burned,2016-10-22,2030-06-28
arts connoisseur,CN,401-424-2562,burned,2012-05-29,2034-11-28
security specialist,RU,874-181-2725,under surveillance,2006-05-13,2026-06-23
travel blogger/reviewer,GH,610-155-9093,compromised,2012-03-10,2033-02-05
security specialist,CN,788-795-6901,active,2007-06-13,2025-09-05
environmental activist,SE,755-891-7841,inactive,2020-09-02,2034-07-08
government official/diplomat,UZ,845-356-3128,burned,2013-12-28,2033-04-07
medical professional,JP,333-847-2699,under review,2012-12-02,2024-04-12
humanitarian worker,HR,395-815-6412,inactive,2016-05-03,2034-03-26
arts connoisseur,DE,127-404-1880,active,2014-12-27,2029-04-03
food/culinary expert,HR,533-191-5155,under surveillance,2012-06-02,2026-03-26
journalist/reporter,NC,605-361-1400,under development,2013-09-06,2031-09-10
social media influencer,BR,542-239-7435,under development,2023-10-08,2033-04-28
government official/diplomat,ID,174-103-5181,compromised,2013-01-25,2035-01-04
government official/diplomat,RU,455-270-3671,deep cover,2019-10-01,2029-11-28
government official/diplomat,ID,210-615-8231,active,2023-12-28,2026-01-07
arts connoisseur,RU,709-891-7172,emergency extraction,2015-10-25,2028-12-27
humanitarian worker,ID,284-750-3936,emergency extraction,2017-10-08,2026-02-03
food/culinary expert,EE,502-358-2431,inactive,2014-05-14,2032-09-26
corporate executive,PH,247-673-5239,compromised,2018-03-09,2024-12-28
medical professional,CN,945-147-6716,deep cover,2015-10-16,2032-05-25
construction worker/engineer,HN,318-871-3952,under surveillance,2008-02-04,2034-08-11
government official/diplomat,MX,456-864-6329,under development,2004-02-26,2023-01-28
food/culinary expert,CO,736-748-1055,under review,2004-03-31,2030-04-21
finance/investment analyst,BR,745-912-7053,emergency extraction,2017-12-23,2028-04-21
law enforcement officer,ID,424-774-1561,inactive,2021-02-01,2025-02-18
security specialist,PL,143-520-6729,emergency extraction,2021-02-04,2027-04-03
business consultant,TZ,802-688-1076,under development,2012-09-29,2028-07-17
security specialist,CO,276-325-2984,compromised,2021-03-15,2034-12-27
corporate executive,HR,657-853-4653,infiltration,2008-06-29,2025-01-10
government official/diplomat,JP,141-240-2267,emergency extraction,2019-12-21,2025-06-07
academic researcher,FR,315-825-9553,emergency extraction,2015-10-30,2030-11-12
finance/investment analyst,RU,665-801-1820,infiltration,2006-12-11,2026-03-09
finance/investment analyst,PH,897-700-8321,active,2005-06-19,2032-01-28
freelance photographer,BR,856-915-0442,under review,2018-06-23,2029-06-26
construction worker/engineer,RU,367-562-5683,emergency extraction,2016-09-07,2023-08-19
finance/investment analyst,PL,347-654-5332,compromised,2023-03-13,2032-12-17
government official/diplomat,GR,381-830-0719,under review,2009-05-31,2034-12-07
freelance photographer,PH,858-743-6736,under development,2015-01-01,2029-06-14
security specialist,UY,606-788-1869,burned,2015-04-25,2033-06-10
entertainment insider,UG,926-543-0286,inactive,2020-12-07,2023-11-07
tech entrepreneur,CN,949-444-3006,under surveillance,2018-04-03,2033-10-20
travel blogger/reviewer,CN,851-794-1651,active,2023-10-13,2026-04-17
finance/investment analyst,JM,115-255-1180,compromised,2009-03-08,2033-12-21
journalist/reporter,AL,479-623-0580,deep cover,2009-02-18,2028-10-15
entertainment insider,CA,982-208-5035,under surveillance,2011-05-30,2028-01-27
tech entrepreneur,BR,458-338-4007,infiltration,2023-12-07,2034-05-21
food/culinary expert,PH,371-709-5332,under review,2016-07-11,2029-02-15
security specialist,PL,624-464-5547,under review,2022-05-27,2030-01-28
academic researcher,CN,130-889-7644,burned,2005-11-06,2031-11-08
environmental activist,TJ,510-536-5592,deep cover,2009-07-09,2026-03-07
food/culinary expert,CN,739-251-9110,emergency extraction,2021-07-25,2026-10-22
law enforcement officer,RS,991-524-7334,inactive,2018-06-04,2027-02-07
