0,1,2,3,4,5
freelance photographer,HR,584-284-8295,deep cover,2018-06-07,2029-06-18
journalist/reporter,RU,395-803-5625,under review,2022-09-29,2026-06-20
arts connoisseur,SE,487-446-7737,emergency extraction,2005-02-21,2024-01-31
tourist/traveler,NL,783-497-5536,inactive,2007-10-02,2031-03-05
arts connoisseur,PT,820-563-5323,emergency extraction,2013-01-25,2029-12-31
journalist/reporter,ID,991-141-6439,compromised,2009-03-23,2030-06-12
food/culinary expert,BY,676-826-8149,inactive,2020-03-01,2026-06-17
freelance photographer,PH,398-261-5831,deep cover,2015-01-02,2028-06-27
tourist/traveler,FR,533-924-2783,inactive,2023-03-24,2029-02-27
arts connoisseur,PE,997-849-2263,infiltration,2014-04-28,2025-11-10
construction worker/engineer,CN,338-357-9145,infiltration,2020-04-07,2032-07-17
security specialist,ID,533-680-3801,compromised,2018-01-21,2028-05-25
law enforcement officer,VN,614-113-9441,under review,2018-09-09,2031-08-23
food/culinary expert,BR,535-525-2805,active,2006-09-26,2029-12-25
corporate executive,CN,989-717-2468,compromised,2012-12-10,2023-05-04
construction worker/engineer,TH,598-529-9871,burned,2006-03-17,2029-04-15
law enforcement officer,CZ,213-844-2265,infiltration,2022-10-23,2026-11-20
freelance photographer,NG,986-667-4120,under review,2010-02-14,2023-12-03
food/culinary expert,PH,212-826-2637,under development,2013-12-07,2027-04-13
food/culinary expert,ID,799-634-9791,infiltration,2016-10-30,2032-10-15
entertainment insider,TH,656-669-0907,compromised,2022-09-14,2030-09-20
environmental activist,BR,916-541-1081,under development,2017-06-24,2027-09-14
tech entrepreneur,TH,624-912-1995,compromised,2011-09-21,2033-09-30
social media influencer,CN,694-884-8764,under development,2008-09-03,2028-05-11
security specialist,MG,545-913-1585,compromised,2016-11-01,2033-02-02
food/culinary expert,CN,259-712-2460,under surveillance,2009-01-16,2026-11-17
freelance photographer,CN,156-666-2397,inactive,2013-11-09,2029-08-26
environmental activist,CL,103-629-8897,infiltration,2022-07-20,2026-02-16
business consultant,CN,223-660-2068,under review,2004-11-19,2026-04-27
environmental activist,JP,768-488-5338,inactive,2007-05-24,2029-07-14
arts connoisseur,ID,963-614-6832,inactive,2011-02-13,2026-09-15
corporate executive,CN,835-165-1050,active,2015-09-27,2034-06-17
