0,1,2,3,4,5
tech entrepreneur,ID,373-350-8600,under surveillance,2012-11-25,2026-08-08
medical professional,ID,968-419-5812,under development,2007-03-03,2023-02-21
food/culinary expert,RU,117-574-5510,emergency extraction,2021-05-02,2034-11-25
environmental activist,BR,387-964-8162,active,2018-03-09,2030-06-17
corporate executive,RU,455-723-3949,infiltration,2007-01-16,2027-03-16
construction worker/engineer,FR,642-123-1103,burned,2013-05-03,2034-04-10
freelance photographer,UA,804-931-5230,burned,2020-01-10,2026-04-15
medical professional,SE,883-742-5454,burned,2017-03-05,2031-06-07
food/culinary expert,CN,317-135-3650,under surveillance,2009-06-27,2028-08-30
security specialist,SE,913-171-2400,under development,2008-01-17,2031-12-07
academic researcher,AF,243-129-4072,deep cover,2022-02-04,2034-08-24
academic researcher,US,515-321-0695,infiltration,2010-05-23,2024-03-17
law enforcement officer,FM,275-760-2401,deep cover,2016-06-27,2024-05-15
travel blogger/reviewer,SE,582-265-4577,infiltration,2011-12-15,2026-03-19
social media influencer,ID,683-776-3319,infiltration,2013-06-22,2032-04-25
arts connoisseur,JP,924-751-8765,burned,2008-02-23,2026-06-10
freelance photographer,BG,772-549-7787,under review,2004-06-07,2034-09-04
security specialist,PE,883-506-1135,burned,2008-02-29,2026-01-17
social media influencer,AF,753-353-1771,burned,2016-05-26,2024-01-28
travel blogger/reviewer,NG,688-448-5659,under surveillance,2008-10-26,2025-07-16
government official/diplomat,CN,820-352-6896,under surveillance,2006-04-01,2028-01-24
journalist/reporter,EG,791-536-8366,compromised,2005-09-09,2027-03-04
tech entrepreneur,CI,877-230-5331,burned,2005-12-31,2033-12-07
academic researcher,NL,216-554-9505,active,2020-09-25,2031-05-16
business consultant,IE,528-605-6624,emergency extraction,2011-05-04,2033-07-07
finance/investment analyst,EC,632-100-5391,deep cover,2022-03-23,2027-06-24
entertainment insider,AR,398-852-1280,under review,2011-09-11,2033-01-24
business consultant,BR,355-970-0232,under review,2023-02-03,2025-07-20
journalist/reporter,CN,582-539-9362,compromised,2019-10-18,2029-10-22
finance/investment analyst,CN,222-480-3119,infiltration,2011-02-09,2031-03-30
freelance photographer,AZ,735-396-8000,compromised,2012-12-09,2031-10-27
government official/diplomat,CN,155-935-7908,active,2011-02-21,2024-11-08
entertainment insider,FR,671-196-8246,under surveillance,2020-07-11,2027-02-15
tech entrepreneur,BE,373-510-0355,under surveillance,2016-09-21,2025-09-24
food/culinary expert,CN,612-518-6811,compromised,2011-02-22,2033-06-20
security specialist,PT,348-757-9611,deep cover,2016-11-03,2025-08-31
finance/investment analyst,FR,830-234-0752,deep cover,2022-01-05,2026-02-25
construction worker/engineer,SE,916-573-1405,inactive,2011-07-05,2030-10-20
social media influencer,ID,763-409-7664,burned,2006-08-04,2027-04-13
food/culinary expert,IE,649-829-4473,active,2016-08-30,2033-11-25
corporate executive,PT,279-825-1856,compromised,2011-01-19,2031-05-25
medical professional,ID,101-790-9768,under surveillance,2008-06-24,2025-06-03
travel blogger/reviewer,CN,764-191-4149,inactive,2012-10-16,2034-11-22
business consultant,CN,919-136-3686,infiltration,2010-08-11,2031-08-02
law enforcement officer,CN,352-550-5758,burned,2012-07-17,2024-08-18
construction worker/engineer,PT,841-491-5679,compromised,2020-10-30,2024-06-28
social media influencer,FR,538-672-1056,inactive,2021-09-16,2031-05-26
freelance photographer,NG,623-563-3388,inactive,2011-11-22,2031-09-26
tourist/traveler,CN,529-113-2354,compromised,2015-08-21,2034-08-12
academic researcher,PH,104-724-3006,infiltration,2017-05-10,2034-09-16
academic researcher,ID,579-470-9424,inactive,2014-05-14,2033-07-25
security specialist,CN,771-809-8763,inactive,2016-11-29,2027-06-16
government official/diplomat,EC,983-995-5752,emergency extraction,2017-01-19,2023-09-03
arts connoisseur,BR,870-651-1320,deep cover,2016-02-06,2027-12-06
food/culinary expert,PE,652-139-0879,under development,2007-04-28,2026-12-24
food/culinary expert,PL,816-956-2267,active,2017-09-22,2034-08-08
academic researcher,CN,857-524-5293,burned,2013-01-18,2027-07-06
arts connoisseur,CN,999-630-7811,emergency extraction,2011-05-11,2027-04-20
corporate executive,MA,275-462-1611,active,2019-07-23,2026-02-05
journalist/reporter,IT,773-852-9812,under development,2022-07-01,2025-12-31
corporate executive,UA,499-981-2063,compromised,2017-03-05,2023-11-12
freelance photographer,ID,182-334-1213,compromised,2007-04-07,2024-07-27
security specialist,CU,937-165-7362,inactive,2013-02-01,2025-03-13
freelance photographer,CN,961-576-4461,under review,2018-12-28,2032-04-20
finance/investment analyst,US,303-657-7893,active,2004-02-11,2030-01-29
finance/investment analyst,CN,617-144-1420,deep cover,2013-10-28,2024-09-02
humanitarian worker,PE,136-461-7357,deep cover,2011-06-28,2033-05-11
medical professional,CN,736-182-8240,emergency extraction,2011-06-15,2026-12-07
business consultant,UA,963-286-8517,infiltration,2022-08-08,2027-09-17
government official/diplomat,CO,594-416-6590,infiltration,2013-06-04,2031-03-29
government official/diplomat,RU,857-257-0928,compromised,2010-12-08,2028-03-30
government official/diplomat,ID,432-185-9058,under development,2008-08-02,2025-10-21
humanitarian worker,CN,393-643-6467,under development,2023-04-04,2027-03-21
government official/diplomat,SE,969-972-8681,deep cover,2012-11-20,2033-02-01
environmental activist,MK,821-688-8858,compromised,2018-04-02,2031-09-23
academic researcher,SE,995-530-3150,under development,2021-09-11,2023-10-08
medical professional,PH,802-585-8122,active,2006-08-13,2033-01-21
tourist/traveler,PT,870-956-9692,infiltration,2015-02-24,2028-12-14
arts connoisseur,UA,396-180-7677,burned,2012-01-04,2025-11-06
humanitarian worker,MK,875-832-5557,under review,2005-02-26,2024-07-30
tourist/traveler,VN,241-870-7327,under review,2014-04-28,2029-01-07
tourist/traveler,UA,966-797-1246,inactive,2015-02-06,2032-02-19
law enforcement officer,YE,204-557-7791,compromised,2013-08-24,2024-09-16
tech entrepreneur,PL,626-665-5626,under review,2007-04-02,2023-05-26
academic researcher,FR,465-246-1150,under review,2008-06-23,2024-08-25
tech entrepreneur,PT,421-366-7056,under review,2005-10-24,2026-01-05
tech entrepreneur,RU,692-418-4104,inactive,2010-07-29,2026-09-30
corporate executive,FR,400-264-4598,under development,2014-01-25,2034-11-02
medical professional,PE,455-632-8720,compromised,2006-02-11,2027-12-19
tech entrepreneur,CN,207-868-2691,emergency extraction,2016-12-01,2025-09-27
entertainment insider,UA,184-394-7366,under surveillance,2020-03-31,2034-08-14
medical professional,NI,643-503-9610,deep cover,2021-03-17,2023-02-10
travel blogger/reviewer,PL,951-262-8026,inactive,2016-04-04,2029-08-24
security specialist,BR,374-401-8451,infiltration,2020-07-13,2028-06-28
travel blogger/reviewer,US,763-290-8405,infiltration,2017-10-29,2029-05-26
academic researcher,TN,701-720-0839,under development,2013-09-13,2026-05-28
tourist/traveler,PE,633-871-6930,under surveillance,2021-12-09,2026-06-03
freelance photographer,CD,545-645-0882,inactive,2005-03-14,2032-07-31
business consultant,CN,809-481-2312,under development,2023-09-07,2033-04-17
