0,1,2,3,4,5
medical professional,CU,737-906-4117,infiltration,2022-02-17,2029-03-18
academic researcher,FR,572-536-1169,active,2008-06-22,2034-03-13
business consultant,CN,274-290-3771,emergency extraction,2014-05-29,2032-05-30
academic researcher,PL,711-167-2233,burned,2005-10-18,2027-04-02
entertainment insider,PH,982-293-3597,under development,2009-03-13,2027-01-13
entertainment insider,PT,445-175-4944,inactive,2005-06-17,2030-08-22
finance/investment analyst,RU,691-635-6607,deep cover,2013-07-06,2033-03-13
environmental activist,CN,738-971-8141,infiltration,2009-02-22,2027-02-19
security specialist,FR,798-965-9046,under review,2014-12-08,2034-06-09
corporate executive,CH,141-493-7738,under surveillance,2022-10-10,2031-05-17
freelance photographer,AZ,231-200-2394,inactive,2021-04-06,2033-09-29
environmental activist,IR,962-762-5806,inactive,2020-11-26,2031-07-01
finance/investment analyst,SE,886-299-6785,deep cover,2015-08-15,2025-12-14
entertainment insider,DO,177-104-9068,under review,2016-02-04,2028-07-29
travel blogger/reviewer,SO,718-317-4959,emergency extraction,2020-02-24,2031-11-15
government official/diplomat,PT,579-196-4384,compromised,2008-03-18,2034-06-30
travel blogger/reviewer,PL,150-686-8217,under development,2011-08-03,2024-09-16
environmental activist,PH,292-663-2412,under review,2015-06-06,2025-10-07
tech entrepreneur,FR,771-926-3997,emergency extraction,2022-12-27,2025-06-13
tech entrepreneur,AR,660-288-2387,deep cover,2007-06-09,2025-05-21
travel blogger/reviewer,BJ,920-470-6815,emergency extraction,2014-02-12,2030-02-07
construction worker/engineer,RU,624-808-8599,under review,2019-09-30,2024-03-18
medical professional,MU,514-300-9006,under surveillance,2021-10-15,2033-11-09
humanitarian worker,CN,824-660-2552,under surveillance,2016-12-07,2033-04-13
social media influencer,PH,201-923-5238,burned,2021-05-09,2035-01-01
social media influencer,CN,470-563-8367,inactive,2004-08-10,2030-04-10
tech entrepreneur,ID,533-486-8891,under review,2020-09-19,2025-05-12
business consultant,CN,764-576-8440,active,2021-01-03,2028-12-24
academic researcher,KE,142-933-3918,under review,2023-06-20,2033-03-23
construction worker/engineer,RU,395-253-8732,burned,2023-12-12,2027-03-29
business consultant,MN,134-412-2033,inactive,2004-03-15,2030-03-01
humanitarian worker,PT,650-966-2853,deep cover,2017-02-05,2030-09-28
government official/diplomat,AF,645-763-4523,compromised,2010-02-27,2024-04-19
travel blogger/reviewer,SE,291-563-7472,under surveillance,2017-06-23,2031-04-01
finance/investment analyst,FR,755-640-5831,inactive,2010-03-03,2025-06-18
tourist/traveler,PT,951-990-6230,active,2015-01-22,2025-03-01
journalist/reporter,US,913-613-6138,infiltration,2007-03-18,2027-09-27
security specialist,CZ,551-506-5760,under surveillance,2012-12-14,2029-06-03
tech entrepreneur,CN,521-583-1687,under review,2018-04-08,2034-06-28
entertainment insider,PK,308-425-2894,burned,2016-07-17,2025-03-03
finance/investment analyst,AZ,113-786-5879,deep cover,2020-03-15,2034-01-30
government official/diplomat,GR,703-912-1681,inactive,2007-11-13,2031-08-08
construction worker/engineer,JM,299-831-3748,deep cover,2011-05-12,2034-05-09
social media influencer,CN,202-345-1649,under review,2006-05-16,2033-03-06
academic researcher,CN,975-825-4899,inactive,2006-08-20,2023-05-27
academic researcher,PT,447-976-6522,under surveillance,2021-03-04,2031-01-26
environmental activist,CN,405-570-3740,active,2012-10-07,2032-10-09
security specialist,CN,854-636-0143,burned,2018-10-23,2026-10-12
travel blogger/reviewer,RU,626-823-7107,infiltration,2017-03-11,2024-05-19
security specialist,BR,570-441-1464,compromised,2022-04-06,2029-08-22
environmental activist,CN,205-258-5504,under development,2008-07-09,2031-08-30
environmental activist,CN,642-142-4299,inactive,2005-10-16,2023-10-22
food/culinary expert,RU,957-825-2423,inactive,2019-05-14,2023-09-20
journalist/reporter,HR,585-257-6087,inactive,2019-11-20,2028-07-23
construction worker/engineer,PH,198-618-0013,under development,2020-03-15,2032-02-18
freelance photographer,ID,307-804-4817,under development,2005-07-07,2028-04-26
