0,1,2,3,4,5
tourist/traveler,UA,731-388-4990,under development,2006-08-01,2032-08-30
freelance photographer,CN,551-140-9941,deep cover,2005-12-02,2023-02-05
tech entrepreneur,CN,912-516-7848,under development,2014-03-23,2028-05-23
law enforcement officer,CN,568-590-8024,under development,2016-09-20,2025-05-07
security specialist,PH,550-290-6902,deep cover,2018-04-26,2023-07-09
medical professional,ZW,100-710-2705,infiltration,2010-07-21,2029-10-21
journalist/reporter,TN,949-891-9725,infiltration,2020-02-17,2031-05-24
journalist/reporter,CO,637-734-5233,active,2016-03-30,2031-03-08
security specialist,ID,594-907-5472,under review,2009-08-10,2026-05-28
finance/investment analyst,JM,568-235-9979,active,2013-11-29,2028-11-19
business consultant,CN,566-472-5393,burned,2017-11-29,2033-06-26
corporate executive,RU,823-315-9460,infiltration,2009-11-21,2026-12-26
business consultant,FR,622-823-4786,emergency extraction,2022-07-08,2027-07-06
finance/investment analyst,CN,146-952-0363,under review,2022-03-27,2034-10-03
humanitarian worker,ID,954-425-1906,inactive,2005-11-17,2026-12-02
food/culinary expert,SE,467-418-4358,compromised,2009-01-22,2024-07-27
government official/diplomat,PL,600-388-7852,inactive,2018-05-02,2028-10-16
social media influencer,CN,421-919-3273,emergency extraction,2017-01-08,2033-07-07
tech entrepreneur,PH,498-495-1864,active,2011-01-27,2025-03-12
business consultant,JP,274-960-2610,under surveillance,2017-07-03,2029-06-18
law enforcement officer,CA,529-988-6394,under review,2019-04-25,2026-04-07
law enforcement officer,PL,531-915-7771,compromised,2009-02-08,2032-12-10
journalist/reporter,CN,620-541-2495,under development,2022-11-29,2030-10-15
arts connoisseur,NL,731-587-6031,compromised,2022-11-15,2034-10-08
tech entrepreneur,PL,247-989-1850,infiltration,2021-01-15,2027-04-26
journalist/reporter,RU,880-479-1474,inactive,2017-11-09,2030-04-30
government official/diplomat,SE,804-422-6618,compromised,2020-08-16,2031-08-18
tech entrepreneur,ID,742-756-0139,deep cover,2010-02-16,2030-12-28
entertainment insider,UA,198-480-5655,under review,2017-11-06,2032-06-06
social media influencer,CA,373-937-3333,under development,2020-02-20,2024-04-17
security specialist,ID,118-136-7835,under development,2017-10-23,2028-04-07
food/culinary expert,BR,545-686-5585,under development,2006-02-09,2026-08-12
food/culinary expert,PT,609-313-6712,under review,2019-06-06,2030-09-13
corporate executive,RU,279-874-4763,emergency extraction,2006-04-04,2024-01-23
corporate executive,PL,400-744-6260,deep cover,2017-03-30,2028-11-13
tech entrepreneur,CN,629-278-0794,under review,2007-08-07,2031-07-03
medical professional,ID,192-873-8485,under surveillance,2015-09-14,2032-01-05
arts connoisseur,CY,433-582-5364,infiltration,2015-12-07,2034-02-08
travel blogger/reviewer,CN,165-842-1512,deep cover,2005-10-05,2026-04-08
freelance photographer,RU,118-362-8214,active,2010-01-06,2031-11-04
government official/diplomat,CN,124-919-3348,compromised,2011-04-10,2029-11-18
government official/diplomat,RU,257-563-2414,active,2010-03-07,2026-12-10
security specialist,KP,452-216-8323,active,2005-03-19,2029-04-02
academic researcher,PE,269-740-8362,emergency extraction,2014-05-27,2030-12-04
journalist/reporter,UA,898-163-1020,compromised,2022-09-08,2026-06-26
business consultant,CU,980-961-5641,infiltration,2014-01-04,2030-03-20
humanitarian worker,PT,775-589-2188,deep cover,2004-11-16,2023-12-03
entertainment insider,PL,629-934-1818,under surveillance,2022-01-05,2032-01-28
finance/investment analyst,AS,661-298-1431,inactive,2017-02-27,2026-12-06
tourist/traveler,CN,984-245-1724,burned,2022-10-17,2027-01-27
finance/investment analyst,CN,765-893-9656,compromised,2019-09-20,2029-06-20
business consultant,PH,441-532-4606,inactive,2016-01-20,2025-07-21
academic researcher,PT,588-730-8715,under review,2020-08-08,2026-04-13
freelance photographer,MW,410-172-7430,inactive,2018-04-11,2032-09-21
social media influencer,RS,828-663-9392,emergency extraction,2012-12-03,2031-06-11
tourist/traveler,RU,312-390-2603,under surveillance,2021-11-13,2027-05-12
medical professional,MX,750-914-0831,under surveillance,2010-03-22,2033-10-30
government official/diplomat,BR,967-837-7371,under review,2011-07-30,2023-08-03
humanitarian worker,DK,153-466-5285,deep cover,2013-12-06,2034-02-01
security specialist,CN,674-124-0306,under surveillance,2016-03-29,2031-04-29
food/culinary expert,TH,704-221-0545,under review,2023-05-09,2029-02-25
business consultant,ES,198-705-4700,burned,2004-04-21,2030-01-30
humanitarian worker,TH,872-833-3443,burned,2020-01-06,2028-08-28
construction worker/engineer,GM,281-795-0661,under review,2005-11-26,2023-07-15
finance/investment analyst,MY,307-439-7993,emergency extraction,2018-07-23,2027-08-05
environmental activist,AR,783-919-2568,under review,2007-10-07,2029-03-05
medical professional,KW,417-400-6569,under surveillance,2021-11-24,2030-01-07
entertainment insider,CN,823-440-3726,burned,2015-02-02,2027-04-09
finance/investment analyst,IR,531-468-2240,under surveillance,2017-04-10,2027-11-21
government official/diplomat,CZ,315-830-3011,under development,2013-11-17,2023-03-13
entertainment insider,UY,603-389-4084,inactive,2009-08-12,2028-06-27
finance/investment analyst,CN,909-737-6183,active,2006-06-20,2027-03-30
social media influencer,PH,707-868-6118,active,2016-03-04,2027-09-14
finance/investment analyst,RU,564-514-3638,emergency extraction,2019-10-29,2032-09-08
medical professional,ID,578-817-2336,infiltration,2021-07-17,2032-03-28
finance/investment analyst,NG,886-210-1975,under development,2009-11-12,2027-03-30
food/culinary expert,RU,344-962-5470,emergency extraction,2020-08-15,2030-12-26
entertainment insider,CN,710-441-0987,burned,2018-05-03,2025-11-13
social media influencer,ID,380-938-5115,infiltration,2019-08-30,2030-11-13
social media influencer,VN,425-220-6811,burned,2022-03-03,2033-10-08
construction worker/engineer,PT,958-784-4352,under review,2015-08-17,2034-04-14
academic researcher,QA,928-286-9531,under review,2005-12-24,2033-12-03
law enforcement officer,CO,303-183-3926,compromised,2005-04-22,2031-12-19
corporate executive,RU,717-377-5138,infiltration,2022-09-02,2024-07-20
business consultant,SE,593-157-3257,under surveillance,2007-09-29,2028-02-21
social media influencer,CZ,217-746-5871,under surveillance,2014-09-19,2027-12-16
food/culinary expert,BR,527-233-1665,under development,2019-02-11,2028-12-09
finance/investment analyst,UA,703-652-4497,active,2020-12-11,2029-01-03
business consultant,VN,740-905-9379,inactive,2023-07-19,2029-06-14
