0,1,2,3,4,5,6,7
Vanda,Botler,1987-07-14,F,CN,1,psychological warfare specialist,on assignment
Melinde,Shoesmith,1992-12-13,F,ID,5,counterintelligence agent,recovery
Atalanta,Farrer,1991-10-26,F,CN,3,escape and evasion expert,standby
Lynna,Oake,1968-10-19,F,CN,10,escape and evasion expert,on assignment
Olva,Mocquer,1998-08-07,F,US,6,combat specialist,reconnaissance
Vivie,Kirkebye,1998-07-26,F,SE,7,field operative,injured
Marietta,Frensche,1955-03-01,F,AZ,7,combat specialist,under investigation
Herminia,Sehorsch,1981-02-17,F,MY,3,technical specialist,injured
Randa,Franzini,1982-10-25,F,PH,5,escape and evasion expert,interrogation
Layton,Di Bartolommeo,2000-07-26,M,AR,1,counterintelligence agent,active
Cora,Gracewood,1968-08-06,F,US,8,counterterrorism specialist,standby
Delainey,Sandall,1966-02-10,M,CN,8,combat specialist,psychological operations
Row,Axe,1987-09-16,F,NZ,6,influence operations specialist,recovery
Mirella,Woodland,1994-05-08,F,PH,1,counterintelligence agent,reconnaissance
Ly,Lawful,1959-06-17,M,AF,5,influence operations specialist,on leave
Silvana,Kenway,1986-01-26,F,ID,10,undercover agent,black ops
Kanya,Lishmund,1967-08-12,F,AL,4,survivalist,active
Wylma,Lavallie,1968-04-13,F,MD,3,counterterrorism specialist,psychological operations
Carolus,Bealton,1981-07-02,M,RU,5,sniffer,under investigation
Whit,Tarry,1992-05-21,M,ID,1,escape and evasion expert,infiltration
Ivie,Delagua,1992-09-08,F,GN,3,counterintelligence agent,training
Charita,McCroary,1957-08-11,F,PT,6,infiltration expert,recovery
Kenton,Manilo,1964-01-23,M,SE,1,communications specialist,standby
Gonzales,Honisch,1971-09-25,M,CZ,7,sniffer,recovery
Maud,Vasyunichev,1989-10-11,F,PE,3,psychological warfare specialist,deep cover
Elmer,Plevin,2001-01-30,M,ZA,6,communications specialist,active
Milton,Camillo,1981-03-16,M,PH,6,rogue hunter,reserve
Farris,Boatman,2001-12-05,M,CN,5,asset handler,interrogation
Randi,Ganter,1975-05-26,F,RU,9,combat specialist,undercover
Alina,Swindin,1963-01-29,F,PH,6,undercover agent,deep cover
Ursulina,Warren,1998-06-22,F,PL,9,undercover agent,undercover
Jacquenette,Hugues,1994-07-22,F,RU,10,asset handler,training
Cicily,Likly,1988-11-06,F,MX,6,psychological warfare specialist,recovery
Cosme,Crooks,1988-02-17,M,CN,9,technical specialist,on assignment
Gianina,Sprasen,1959-02-08,F,HR,3,translator,active
