0,1,2,3,4,5,6,7
Archer,Caldecott,2003-03-28,M,BR,6,escape and evasion expert,under investigation
Lorinda,Mizzen,1979-04-29,F,ID,9,survivalist,on leave
Eadie,Marven,1963-12-04,F,CN,2,sniper,surveillance
Cherye,O'Hoey,1963-07-29,F,BR,1,counterterrorism specialist,on leave
Chrotoem,Dello,1970-06-23,M,CA,3,underwater specialist,active
Clive,Shakesby,1990-02-22,M,PL,1,agent in place,on assignment
Miof mela,Corran,1982-06-05,F,CN,10,intelligence analyst,on leave
Janice,Fidilis,2006-01-07,F,ID,8,medical specialist,covert diplomacy
Eduino,Bottinelli,1975-12-10,M,FR,4,medical specialist,reconnaissance
Ross,Raywood,1976-04-19,M,KP,8,underwater specialist,covert diplomacy
Sisely,Riddington,1998-10-29,F,CN,8,communications specialist,injured
Jone,Benjafield,1977-07-05,M,HR,9,interrogation specialist,under investigation
Krishna,Giacobbo,1974-02-25,M,SE,9,escape and evasion expert,injured
Hobie,Shallcross,1980-01-04,M,ID,6,cyber operative,injured
Corry,Pierrepont,1968-11-19,F,PT,10,escape and evasion expert,injured
Brenn,Stanley,1981-04-17,F,MK,4,undercover agent,covert diplomacy
Hadleigh,Bradnum,1984-12-29,M,CN,7,rogue hunter,active
Oates,Hanlon,1974-09-24,M,RU,1,communications specialist,infiltration
Evvie,Wilkison,1963-12-20,F,ID,9,asset handler,undercover
Torey,Rydings,1959-06-25,M,UA,5,assassin,reserve
Everett,Spadoni,2000-12-18,M,CZ,9,intelligence analyst,psychological operations
Fitzgerald,Turfitt,1980-09-04,M,CN,6,negotiation expert,surveillance
Norby,Hewkin,1997-08-30,M,ES,9,assassin,on leave
Lew,Macilhench,1978-01-30,M,ID,1,underwater specialist,undercover
Liva,Cammomile,1998-12-13,F,PT,2,communications specialist,standby
Ruthie,Wharfe,2004-02-25,F,GR,9,medical specialist,infiltration
Goldy,Valentim,1975-12-02,F,ID,1,escape and evasion expert,under investigation
Lauree,Mounsie,1985-03-09,F,JP,9,influence operations specialist,intelligence gathering
Quintus,Hamshere,1997-09-29,M,GR,8,medical specialist,deep cover
Pattie,Dingwall,1983-01-05,M,PH,4,underwater specialist,under investigation
Adriena,Airton,1972-06-24,F,PH,6,intelligence analyst,infiltration
Artair,Braemer,1957-05-26,M,IL,9,technical specialist,deep cover
Zonda,Renihan,1963-12-31,F,CN,7,cyber operative,under investigation
Allister,Scole,1982-05-29,M,CN,10,combat specialist,psychological operations
Theadora,Measen,1955-09-19,F,CN,7,undercover agent,deep cover
Edmon,Coatham,2003-01-07,M,CN,8,assassin,active
Phil,Maberley,1995-10-11,F,PH,9,underwater specialist,standby
Barnett,Pepi,1982-05-19,M,PE,1,agent in place,intelligence gathering
