0,1,2,3,4,5,6,7
Jesus,Aronowicz,1958-03-30,M,CN,7,escape and evasion expert,reconnaissance
Nissie,Rannells,2005-10-30,F,PA,9,rogue hunter,under investigation
Delilah,Tollett,1964-04-21,F,ID,8,counterintelligence agent,covert diplomacy
Shalom,Lambarth,1982-02-06,M,PH,8,intelligence analyst,on leave
Skipper,Thecham,1986-04-23,M,PT,8,field operative,injured
Myrtie,Swafield,1961-11-13,F,CN,6,influence operations specialist,under investigation
Katha,Waber,2005-08-30,F,CN,5,cyber operative,infiltration
Idette,Sharkey,1957-06-20,F,PH,4,infiltration expert,black ops
Katya,Flude,1962-03-21,F,AF,9,translator,under investigation
Lesley,Magovern,1957-02-18,F,FI,3,intelligence analyst,infiltration
Florencia,Roff,1969-04-24,F,PL,3,rogue hunter,surveillance
Wake,Aksell,1990-06-23,M,JM,7,medical specialist,training
Fredi,Buffery,1991-03-06,F,PL,10,interrogation specialist,standby
Aeriell,Kilborn,1981-04-27,F,BR,1,survivalist,standby
Hetti,Searight,1964-01-14,F,AR,3,communications specialist,standby
Bernadene,Pawelczyk,2000-10-21,F,SE,10,rogue hunter,on leave
Darby,Bowmer,1957-06-02,F,ID,4,assassin,infiltration
Chloe,Gainor,1984-05-25,F,CN,2,sniper,deep cover
Amalle,Shirrell,1994-02-12,F,CN,4,intelligence analyst,standby
Fabiano,Horley,2005-10-18,M,ID,9,field operative,reconnaissance
Marketa,Mattheus,2003-03-14,F,ID,8,infiltration expert,surveillance
Kala,Garthside,1965-09-02,F,CN,10,field operative,on assignment
Afton,Cloney,1973-10-15,F,TW,6,asset handler,injured
Moria,Legion,1962-04-23,F,HR,9,medical specialist,covert diplomacy
Ania,Nolte,2005-12-23,F,AU,4,combat specialist,black ops
Oliver,Yashaev,1964-05-12,M,MU,9,counterterrorism specialist,reserve
Carolus,Bouldstridge,1989-04-04,M,CN,6,assassin,on assignment
Sanderson,Cheshir,1967-05-05,M,PH,7,asset handler,undercover
Gaultiero,Torpie,1959-05-09,M,ID,5,negotiation expert,injured
Tiffanie,Gittose,1980-02-02,F,NG,2,communications specialist,active
Erna,Adamolli,1973-10-09,F,CN,6,communications specialist,recovery
