0,1,2,3,4,5,6,7
Ives,Sadlier,2002-05-02,M,ID,2,field operative,technical support
Vinni,Aubray,1971-07-03,F,CN,1,counterterrorism specialist,undercover
Paulina,Souch,1971-12-05,F,CN,4,technical specialist,injured
Filia,Beamson,1989-12-13,F,AR,6,intelligence analyst,black ops
Ervin,Habergham,1967-03-09,M,RU,1,survivalist,interrogation
Johannah,Ismay,1980-05-11,F,AR,10,infiltration expert,deep cover
Rafael,Phinn,1977-12-05,M,MX,4,counterintelligence agent,reserve
Charil,Sproule,1956-11-23,F,ID,7,influence operations specialist,reconnaissance
Perren,McGeffen,1979-08-25,M,PT,3,combat specialist,undercover
Heddie,Beardsdale,1984-01-04,F,CN,2,technical specialist,psychological operations
Ignacio,Hercock,1985-12-14,M,SE,5,translator,infiltration
Vanya,Bonwell,1954-05-11,M,PT,7,counterintelligence agent,reconnaissance
Irvine,Cranham,1997-05-14,M,PL,2,assassin,black ops
Timoteo,Pocke,1994-06-11,M,RU,5,communications specialist,standby
Emory,Megroff,1971-03-12,M,UA,7,communications specialist,covert diplomacy
Fredek,Duetsche,1988-09-25,M,PT,9,infiltration expert,surveillance
Kelsey,Silvermann,2002-08-17,F,IR,2,infiltration expert,black ops
Hillary,Alpin,1964-03-31,F,RU,8,assassin,deep cover
Marijo,Tankus,1976-12-22,F,CO,7,counterterrorism specialist,under investigation
Brooke,O' Dooley,1980-12-06,F,RU,2,influence operations specialist,interrogation
Skelly,Kenen,1963-04-16,M,SY,5,asset handler,surveillance
Kimmie,Latek,1963-08-07,F,FR,7,agent in place,undercover
Wernher,Bracknell,1958-07-22,M,PL,9,combat specialist,recovery
Marco,Le Noir,2000-01-17,M,CZ,3,psychological warfare specialist,surveillance
Ruthi,Gathwaite,1979-06-15,F,CN,10,field operative,undercover
Correna,Rushworth,2000-07-06,F,NG,2,asset handler,covert diplomacy
Waylin,Cocks,1996-11-09,M,NI,6,agent in place,infiltration
Hermann,Slocum,1977-01-26,M,PT,5,sniffer,black ops
Lesli,Leverson,1964-06-01,F,GR,6,underwater specialist,training
Katrine,Rickaby,1988-06-07,F,CN,10,escape and evasion expert,psychological operations
Malva,Wix,1979-05-22,F,SE,8,undercover agent,under investigation
Ben,Edland,1996-02-11,M,CN,6,sniper,on assignment
Bernita,Burlingham,1978-05-19,F,PL,2,influence operations specialist,surveillance
Richmound,Bedinn,1955-12-12,M,CN,1,field operative,reconnaissance
Sullivan,Stops,1963-08-02,M,PH,7,asset handler,training
Edmon,Guarin,1994-07-20,M,GB,1,field operative,recovery
Jourdain,Mc Dermid,1998-06-07,M,CN,8,field operative,deep cover
Ottilie,Swales,1998-07-02,F,BY,4,sniper,interrogation
Tuck,Flasby,1969-05-08,M,ID,2,infiltration expert,recovery
Jess,Gurdon,1979-06-06,M,CO,7,field operative,recovery
Steven,Piwell,1961-10-13,M,NG,8,translator,technical support
Dexter,Glossup,1993-01-12,M,ID,9,rogue hunter,active
Gregoire,Stubbington,1955-04-11,M,PH,5,translator,on assignment
Dynah,Gilcriest,1999-10-14,F,VE,10,sniper,interrogation
Pansy,Briat,1955-09-02,F,PH,8,sniffer,reconnaissance
Dennis,Kindred,1963-05-02,M,PL,6,asset handler,technical support
Grover,Drinkeld,1973-11-16,M,CN,9,sniffer,active
Augustus,Sherston,1977-03-28,M,ET,9,underwater specialist,undercover
Johnath,Moulton,1964-04-08,F,CU,1,counterterrorism specialist,surveillance
Corrina,McLay,1989-03-09,F,TJ,6,technical specialist,surveillance
Douglass,O'Gavin,1988-02-12,M,SE,8,combat specialist,reconnaissance
Mame,Tussaine,2002-10-24,F,CY,3,agent in place,undercover
Slade,Remer,1970-03-08,M,PH,10,communications specialist,standby
Star,Renbold,1983-09-28,F,NG,2,intelligence analyst,interrogation
Obadiah,Oliveras,1967-04-12,M,AR,8,translator,interrogation
Hershel,Caselick,1981-06-15,M,MA,5,influence operations specialist,black ops
Sunny,Patrie,1983-12-29,M,UA,5,counterintelligence agent,interrogation
Noelyn,Carbin,1984-08-30,F,CN,4,sniper,intelligence gathering
Gustavus,Saville,1984-11-22,M,CN,9,underwater specialist,active
Grantley,Woodbridge,1982-08-26,M,PL,9,cyber operative,covert diplomacy
Melisent,Stanyon,1967-03-02,F,CO,10,combat specialist,recovery
Chen,Dutton,1966-01-26,M,AF,7,assassin,reserve
Sheilah,Casserly,1995-05-24,F,CN,6,communications specialist,standby
Freddie,Whotton,1964-11-12,M,CN,1,field operative,deep cover
Tate,Marran,1996-08-04,F,CZ,4,counterterrorism specialist,surveillance
Cindelyn,Everil,1965-02-28,F,SE,1,undercover agent,intelligence gathering
Ev,Murford,1976-06-28,M,ID,9,counterintelligence agent,black ops
Arlen,Davidsen,1985-06-12,M,KR,6,cyber operative,on leave
Nola,Avesque,1968-03-15,F,BR,1,translator,reconnaissance
Jeralee,Kenwyn,1987-09-17,F,CN,5,assassin,black ops
Allsun,Coltherd,1970-07-11,F,ES,1,field operative,recovery
Emmet,Wychard,1997-07-26,M,AT,7,asset handler,training
Bibbye,Vassbender,1967-12-25,F,PL,3,asset handler,on assignment
Teri,Writtle,2003-01-08,F,BR,7,sniper,under investigation
Dusty,Ivakhin,1967-03-01,F,MU,9,psychological warfare specialist,standby
Winnah,Trengrove,1957-03-11,F,IE,6,interrogation specialist,surveillance
Chuck,Dennett,1958-10-23,M,PE,6,translator,covert diplomacy
Eunice,Sclanders,2001-03-06,F,RU,10,field operative,intelligence gathering
Rollin,Inglesant,1956-08-23,M,MN,9,sniper,reconnaissance
Myrlene,Davisson,1981-09-05,F,PH,6,counterterrorism specialist,reserve
Lorianna,Corwin,1989-10-19,F,CN,2,interrogation specialist,on assignment
Chuck,Cheke,1974-10-04,M,RU,3,negotiation expert,training
Brett,Wentworth,1970-11-27,M,AO,2,survivalist,infiltration
Shari,O'Bradane,1991-11-10,F,CN,4,translator,surveillance
Morgen,Keeping,2005-03-30,F,US,3,survivalist,training
Noellyn,Curzon,2003-09-05,F,BR,3,negotiation expert,psychological operations
Hendrika,Spindler,1964-09-22,F,ID,7,underwater specialist,reconnaissance
Benedicto,Hammett,1974-01-29,M,ID,4,escape and evasion expert,on leave
Malorie,Reyson,2004-09-30,F,UA,2,counterterrorism specialist,under investigation
Shena,Rustidge,1971-08-22,F,ZM,8,combat specialist,injured
Perri,Schubbert,1956-12-28,F,MD,4,counterintelligence agent,psychological operations
Marketa,Antonellini,1991-03-21,F,ID,1,negotiation expert,technical support
Germain,Magister,1998-02-22,F,TJ,3,sniffer,recovery
Morry,Garstan,1958-05-19,M,MY,9,technical specialist,surveillance
Norbert,Coldbreath,1965-12-19,M,ID,2,technical specialist,surveillance
Richie,Treat,1965-04-04,M,ID,4,intelligence analyst,under investigation
Marijn,Morad,1959-08-23,M,CN,8,medical specialist,on assignment
Garrett,Letherbury,1975-06-24,M,PL,3,interrogation specialist,intelligence gathering
Brigid,Margaritelli,1973-05-01,F,GT,6,infiltration expert,psychological operations
Adoree,Shade,1971-02-01,F,PT,1,intelligence analyst,on assignment
Wolfie,Loynton,2004-10-10,M,JO,4,survivalist,intelligence gathering
Benny,Gallatly,1976-12-17,F,BR,10,underwater specialist,recovery
Renaud,Bernucci,1963-05-15,M,FR,10,combat specialist,recovery
Corabelle,Chippendale,1988-02-12,F,PT,10,counterintelligence agent,training
Coral,Wolfe,1992-06-01,F,PH,4,rogue hunter,training
Jemie,Gerry,1983-06-06,F,PT,7,field operative,on leave
Shelagh,Atherley,2001-11-30,F,ID,2,sniffer,interrogation
Celeste,Bonallack,2005-05-22,F,SE,5,counterintelligence agent,standby
Melodee,Tall,1997-04-06,F,RU,6,field operative,black ops
Shurlock,Normavill,1973-08-25,M,RU,5,intelligence analyst,training
Reube,Proven,1996-06-29,M,ID,2,communications specialist,infiltration
Michelina,Bras,1995-03-08,F,PK,6,assassin,intelligence gathering
Trevar,Borrill,1966-07-18,M,PH,2,rogue hunter,technical support
Sibbie,Pask,1991-10-28,F,GE,3,underwater specialist,training
Branden,Iacomettii,1979-04-08,M,RU,8,agent in place,training
Clay,Capitano,1968-04-10,M,PK,4,demolitions expert,training
Lindon,Mancer,1993-10-03,M,CO,7,psychological warfare specialist,infiltration
Cosimo,Belvard,2001-04-21,M,TZ,5,field operative,black ops
Lazarus,Mazillius,2002-11-11,M,PT,3,communications specialist,interrogation
Trenton,Panas,1993-11-25,M,ID,2,field operative,under investigation
Sarina,McOmish,1980-06-20,F,CN,2,agent in place,reserve
Heda,Culleton,1974-07-05,F,BG,4,survivalist,undercover
Adela,Mogford,2003-08-25,F,UY,6,field operative,technical support
Mikel,Nekrews,1959-06-04,M,RU,5,intelligence analyst,reserve
Ernaline,Tetther,1990-05-15,F,PL,8,intelligence analyst,deep cover
Davidson,Ollington,1994-10-26,M,ID,3,asset handler,black ops
Luciano,Leyton,1996-11-20,M,MA,4,communications specialist,infiltration
Inness,Bedinn,1988-07-21,M,SI,1,undercover agent,reconnaissance
Elvis,Andrelli,1969-08-22,M,JM,1,cyber operative,covert diplomacy
Frazier,Sket,1992-12-19,M,NG,4,technical specialist,on leave
Kynthia,Firth,1997-12-23,F,ID,2,psychological warfare specialist,surveillance
Glyn,Twelvetrees,1955-02-22,M,UA,10,demolitions expert,on assignment
Nicolina,Stuttman,1966-06-28,F,LU,2,technical specialist,interrogation
Wilone,Carvell,1968-11-11,F,BR,2,interrogation specialist,standby
Billie,Marte,1984-12-03,M,SE,6,demolitions expert,deep cover
Alanson,Forrington,1991-10-09,M,AL,6,combat specialist,black ops
Alikee,Patroni,1958-10-27,F,PH,4,communications specialist,active
Ardyce,Langthorne,1989-05-24,F,CZ,3,escape and evasion expert,undercover
Tabb,Galiero,1957-07-06,M,PT,8,psychological warfare specialist,intelligence gathering
Kameko,Guidelli,1979-05-07,F,ID,8,field operative,black ops
Vanya,Mickelwright,2005-05-06,M,KE,10,survivalist,recovery
Archambault,Shillington,1993-10-27,M,ID,6,medical specialist,interrogation
Lavina,Durante,1962-02-09,F,KP,5,negotiation expert,reconnaissance
