0,1,2,3,4,5,6,7
Sammy,Crosswaite,1989-03-19,M,PT,5,influence operations specialist,black ops
Stirling,Frostdick,1980-08-15,M,VN,5,assassin,technical support
Nicholle,Brassill,1981-12-03,F,PT,7,intelligence analyst,infiltration
Jenna,Oblein,1993-03-03,F,DO,5,cyber operative,undercover
Beulah,Ackland,1983-09-29,F,CN,4,underwater specialist,injured
Eberhard,Kefford,1980-03-24,M,CN,2,asset handler,standby
Avictor,Minor,2004-12-23,M,PL,10,counterintelligence agent,black ops
Odie,Hardison,2003-10-02,M,RU,6,sniper,reserve
Itch,Garn,1987-06-17,M,PH,4,rogue hunter,on leave
Christopher,Piccard,1980-11-17,M,JO,1,escape and evasion expert,on leave
Wenona,MacCaffery,2000-06-23,F,PH,4,asset handler,under investigation
Tucker,Howard - Gater,1959-11-22,M,CN,4,field operative,on leave
Alexandr,De Cleyne,1981-07-16,M,CN,3,psychological warfare specialist,black ops
Raphael,Crollman,2002-12-28,M,BR,5,assassin,interrogation
Fedora,Helsby,1963-03-05,F,SE,3,infiltration expert,deep cover
Rosabella,Costerd,1984-03-03,F,RU,7,underwater specialist,under investigation
Nicolina,Arlt,1994-07-31,F,BR,1,counterterrorism specialist,surveillance
Tamqrah,Valintine,1981-09-30,F,HN,3,communications specialist,interrogation
Jelene,Champerlen,1957-04-28,F,CN,2,medical specialist,black ops
Beltran,Hurch,1979-01-01,M,GE,10,assassin,active
Patton,Benettolo,2002-12-15,M,ID,8,sniffer,infiltration
Hermie,Van der Linde,1971-10-15,M,GR,8,sniper,reconnaissance
Nonna,Bracchi,1956-11-26,F,NZ,3,sniffer,on leave
Angelle,Rickeard,1960-07-02,F,BG,6,negotiation expert,injured
Abdel,Sever,1999-08-19,M,RU,7,translator,infiltration
Mil,Flawn,1998-05-11,F,BR,7,agent in place,recovery
Bambie,Willgoose,1979-11-01,F,CN,3,interrogation specialist,injured
Lamont,Esselen,2005-08-19,M,CN,4,counterintelligence agent,deep cover
Berte,Peeter,1994-11-03,F,AM,2,counterintelligence agent,intelligence gathering
Agosto,Matveiko,1981-11-14,M,FR,3,field operative,deep cover
Sigfrid,Ohrtmann,2003-12-14,M,AM,6,undercover agent,injured
Latrena,Jeacocke,1975-08-16,F,CN,9,rogue hunter,on leave
Muhammad,Tillot,1963-12-26,M,AR,2,negotiation expert,intelligence gathering
Antonio,Klezmski,1964-08-13,M,CO,7,sniffer,undercover
Shermy,Cornels,1995-02-26,M,IL,9,counterintelligence agent,on assignment
Fonsie,Sedwick,2000-10-05,M,BR,5,medical specialist,injured
Shane,Janauschek,1966-06-29,M,CN,3,demolitions expert,standby
Loria,Connah,1977-08-13,F,NO,5,psychological warfare specialist,undercover
Petunia,Pinches,1990-10-26,F,CY,10,assassin,standby
Saxon,Chasmar,1962-10-17,M,ID,4,undercover agent,intelligence gathering
Cathrine,Cranch,1983-08-24,F,ID,6,psychological warfare specialist,interrogation
Myriam,Lishmund,2000-01-17,F,CN,1,sniffer,reconnaissance
Cody,Crystal,1954-09-28,F,CN,4,rogue hunter,surveillance
Edmon,Fishpoole,1991-09-05,M,CN,7,translator,interrogation
Adela,Corbin,1983-05-24,F,BR,6,field operative,surveillance
Niels,Blain,1963-12-31,M,MX,1,medical specialist,undercover
Finn,Cowern,1965-02-22,M,BY,1,counterintelligence agent,recovery
Jaime,Waplinton,2002-11-12,F,CN,8,underwater specialist,reserve
Hadlee,Garwill,1979-06-30,M,PT,3,field operative,psychological operations
Smitty,Calcraft,1966-12-07,M,PL,1,sniffer,black ops
Savina,Krollmann,1954-01-29,F,JP,5,asset handler,standby
Augustine,Gordge,1964-11-30,F,CN,10,assassin,technical support
Jody,Ballin,1992-01-10,F,RU,10,translator,covert diplomacy
Guinevere,Rome,1997-08-06,F,US,2,psychological warfare specialist,training
Enriqueta,Tebbe,1979-04-27,F,FR,2,counterintelligence agent,under investigation
Ber,Muncie,1982-06-10,M,TN,3,interrogation specialist,on leave
Manolo,Filchakov,1987-01-10,M,CN,10,escape and evasion expert,technical support
Zorina,Simonazzi,1975-09-21,F,TH,5,intelligence analyst,undercover
Malvina,Doerrling,1985-03-18,F,US,8,underwater specialist,reserve
Veradis,Pretsel,1997-05-31,F,SE,4,counterterrorism specialist,intelligence gathering
Jenilee,Woodson,1970-06-24,F,TH,7,rogue hunter,psychological operations
Teresina,Buckthought,2004-07-28,F,JP,4,escape and evasion expert,standby
Kingsly,Wicher,1982-04-10,M,GR,8,sniper,intelligence gathering
Kerianne,Flori,1964-01-10,F,ID,9,counterintelligence agent,infiltration
Ethe,Veldstra,1982-03-07,M,LU,5,influence operations specialist,interrogation
Jacky,MacCaughey,1995-06-06,F,ID,9,translator,active
Mace,Glanister,1968-06-20,M,VN,2,rogue hunter,infiltration
Ephrayim,Gwinnell,1985-05-06,M,ID,4,agent in place,standby
Annaliese,Benford,1980-03-05,F,CN,6,interrogation specialist,under investigation
Niles,Chese,1982-07-31,M,PH,2,asset handler,covert diplomacy
Levy,Fuggles,1960-02-01,M,RU,10,cyber operative,recovery
Flo,Macilhench,2002-01-31,F,MT,9,assassin,interrogation
Marci,Erb,2005-10-01,F,UA,2,intelligence analyst,reserve
Sandie,Franzonetti,1991-07-26,F,CA,8,translator,black ops
Bartel,Kildale,1987-09-21,M,TH,10,combat specialist,black ops
Orlando,Maria,1998-09-10,M,PT,2,counterintelligence agent,active
Reamonn,Theodoris,1969-10-10,M,BY,9,escape and evasion expert,training
Horst,Sarver,1973-07-10,M,CN,7,medical specialist,covert diplomacy
