0,1,2,3,4,5,6,7
Elene,Buddleigh,1992-04-26,F,HN,5,medical specialist,black ops
Petronilla,Yuryev,1973-11-11,F,RU,9,field operative,deep cover
Rosalinda,MacInerney,1992-05-07,F,CN,4,field operative,standby
Valma,Corsan,1956-09-25,F,CN,4,influence operations specialist,interrogation
Muffin,Sheivels,1990-06-24,F,PH,5,communications specialist,infiltration
Danila,Bramwell,1970-10-23,F,CO,1,negotiation expert,surveillance
Legra,Renton,1981-08-30,F,ZA,8,negotiation expert,standby
Ashley,Harcombe,2001-10-15,F,BR,7,cyber operative,undercover
Siegfried,Feragh,1994-02-13,M,CN,1,sniffer,infiltration
Kellsie,Lehrle,1995-11-23,F,KG,6,combat specialist,injured
Kent,Skyme,1985-01-30,M,CN,7,counterintelligence agent,undercover
Fulton,Hinrichsen,1976-07-15,M,CN,8,interrogation specialist,covert diplomacy
Dorita,Camoletto,1958-01-30,F,PL,6,asset handler,black ops
Madelene,Traut,1986-10-26,F,CN,10,combat specialist,intelligence gathering
Felicia,Caffin,1992-01-11,F,GT,1,rogue hunter,covert diplomacy
Gaye,O'Sherrin,1986-11-16,F,GB,9,sniper,standby
Koral,Fricker,1984-05-31,F,PT,7,counterintelligence agent,under investigation
Mile,Pinnigar,2000-11-28,M,MK,6,sniffer,on leave
Teddy,Bradlaugh,1969-02-03,M,CN,8,sniffer,reserve
Franky,Lyon,2002-11-30,F,BR,3,interrogation specialist,reconnaissance
Tommy,Courson,1958-12-07,M,BR,6,undercover agent,under investigation
Carmine,Bullingham,1981-06-01,M,PH,7,underwater specialist,reserve
Darline,Folks,1975-02-13,F,CN,5,influence operations specialist,injured
Noby,Ascroft,1972-07-24,M,CN,5,escape and evasion expert,psychological operations
Shawn,Vallens,1988-05-21,M,LV,8,psychological warfare specialist,infiltration
Burnaby,Kaveney,1955-04-17,M,CN,2,intelligence analyst,intelligence gathering
Elianore,Griss,1989-06-28,F,PL,9,asset handler,interrogation
Gallagher,Janecek,1966-02-04,M,FI,9,cyber operative,undercover
Eachelle,Garbutt,1973-12-04,F,TH,9,communications specialist,psychological operations
Kevon,Messiter,1988-07-11,M,CN,9,demolitions expert,black ops
Koral,Salerg,1985-03-15,F,CN,9,sniper,standby
Sharity,Eby,1999-03-12,F,CN,10,agent in place,training
Valencia,Holtaway,1997-09-14,F,JO,7,translator,undercover
Dinnie,Whitmore,1993-02-19,F,MY,3,psychological warfare specialist,intelligence gathering
Nydia,Housaman,1999-03-11,F,BY,7,interrogation specialist,psychological operations
Lonna,Fries,1962-05-09,F,PH,4,combat specialist,infiltration
Patsy,Pierse,1996-03-11,M,ET,1,rogue hunter,standby
Penny,Blonden,1971-01-21,M,UA,1,technical specialist,psychological operations
