0,1,2,3,4,5,6,7
Tuck,Hardwin,1979-04-14,M,SE,9,field operative,recovery
Arlene,Priditt,1977-06-24,F,ID,2,agent in place,covert diplomacy
Farrand,Sanson,1956-03-03,F,CN,10,underwater specialist,technical support
Christos,Bretherick,1990-04-19,M,GR,9,escape and evasion expert,reconnaissance
Jeramey,Edinburgh,1973-06-23,M,BR,8,psychological warfare specialist,infiltration
Chucho,Soares,1955-11-01,M,SE,8,technical specialist,standby
Amata,Wasbrough,1974-12-11,F,ID,6,negotiation expert,reserve
Sayres,Doudny,1979-03-21,M,CN,8,underwater specialist,active
Omero,Jursch,1990-08-15,M,US,9,infiltration expert,deep cover
Ludovico,Barkhouse,1973-01-16,M,CO,9,communications specialist,on leave
Jenn,Padell,1970-08-23,F,HR,7,negotiation expert,undercover
Nonah,Dalgleish,1986-12-26,F,HR,8,combat specialist,on assignment
Matthaeus,Pringer,1997-03-22,M,RU,9,agent in place,surveillance
Pandora,Poutress,1960-07-13,F,PG,3,psychological warfare specialist,reserve
Sergei,Greenman,2005-11-26,M,GM,6,underwater specialist,interrogation
Dulce,Dumphry,1956-02-21,F,EC,9,survivalist,infiltration
Freemon,Issacson,1972-06-01,M,CN,3,demolitions expert,training
Ichabod,Shickle,1996-02-19,M,PH,7,assassin,active
Melantha,Hulcoop,1982-09-14,F,LV,1,field operative,surveillance
Egbert,Elfitt,1987-05-05,M,SE,10,sniper,reconnaissance
Cornall,Missenden,1985-11-26,M,ID,9,cyber operative,injured
Myrta,McRae,1990-09-19,F,SE,8,influence operations specialist,covert diplomacy
Rozele,Prescot,1956-06-18,F,CA,10,infiltration expert,recovery
Marnie,Trewhella,1995-02-14,F,XK,9,sniper,training
Althea,Novik,1964-01-20,F,VN,2,technical specialist,covert diplomacy
Germana,Arboine,1967-06-04,F,US,5,asset handler,surveillance
Hobard,Glidder,1997-09-23,M,ID,8,communications specialist,active
Marten,Nesey,1964-02-28,M,ID,4,rogue hunter,reserve
Tracie,Weatherell,1965-02-15,M,CN,2,medical specialist,infiltration
Anders,Kochs,1997-09-07,M,JO,4,undercover agent,on leave
Hogan,Hebborn,2004-07-15,M,CN,1,communications specialist,recovery
Von,Mauser,1973-04-29,M,ID,4,counterterrorism specialist,active
Maynord,Cotesford,1988-06-26,M,ID,2,undercover agent,reconnaissance
Judye,Stryde,1993-04-14,F,RU,2,counterintelligence agent,interrogation
Harmonie,Brill,2002-09-19,F,CN,10,sniffer,on assignment
Shalom,Amar,1956-12-20,M,US,1,counterintelligence agent,reserve
Jose,MacCafferky,1960-04-21,M,CO,2,field operative,black ops
Izaak,Fishwick,1997-09-10,M,CN,6,undercover agent,training
Benjie,Ethridge,1990-01-18,M,GR,7,demolitions expert,intelligence gathering
Derrek,Auletta,1990-08-28,M,CN,1,cyber operative,deep cover
Elsy,Rivelon,1955-09-21,F,BR,9,infiltration expert,active
Garik,Aronin,1954-05-16,M,PL,1,undercover agent,standby
Stuart,Bellingham,1956-04-23,M,CZ,4,communications specialist,infiltration
Nikki,Vermer,1991-01-26,M,US,6,counterintelligence agent,interrogation
Tarra,Sullly,1968-02-07,F,BO,7,communications specialist,on leave
Yankee,Aizikovich,1968-09-05,M,SE,5,rogue hunter,active
Ann,De Ortega,2002-08-11,F,ID,7,negotiation expert,reserve
Ragnar,Gerrens,1954-01-10,M,SE,9,underwater specialist,reserve
Roshelle,Beed,1970-06-02,F,FR,5,field operative,psychological operations
Etienne,Stowers,1980-11-29,M,CN,5,translator,reserve
Tessy,Elvidge,1976-05-25,F,ID,4,counterintelligence agent,training
Stevie,Weth,2002-07-12,M,CN,6,demolitions expert,interrogation
Dagny,Hanson,1976-08-12,M,PH,9,rogue hunter,active
Wilmar,McTrustam,1966-05-24,M,CN,10,psychological warfare specialist,covert diplomacy
Madalyn,Lankester,1995-05-21,F,NI,1,interrogation specialist,interrogation
Rayner,Leach,2000-03-11,M,PH,4,assassin,surveillance
Gregorio,Hallybone,1960-09-08,M,CN,6,sniper,surveillance
Cori,Arnault,1984-03-07,F,MA,4,psychological warfare specialist,under investigation
Claybourne,McShane,1990-04-28,M,WS,10,medical specialist,under investigation
Glenn,Graeme,1973-08-18,F,US,2,translator,deep cover
Virgina,Copestake,1989-08-11,F,FR,7,medical specialist,on leave
Antonietta,Rothert,1962-11-20,F,CU,2,undercover agent,active
Mimi,Deveral,1995-12-23,F,AU,4,undercover agent,reserve
Nikki,Hallewell,2001-02-22,F,ID,10,underwater specialist,undercover
Nap,Boissier,1981-11-02,M,CN,7,survivalist,psychological operations
Laurie,Lambertini,1981-07-12,M,PE,3,combat specialist,reserve
Diena,Eaken,1956-06-21,F,ID,3,assassin,standby
Nelie,Gregoletti,1978-09-28,F,PH,4,counterterrorism specialist,standby
Ninnetta,Horder,1966-12-01,F,ZA,10,underwater specialist,psychological operations
Thor,Ipsley,1973-11-24,M,PL,1,negotiation expert,deep cover
Annabell,Mussington,1979-05-16,F,CN,8,translator,on assignment
Lauretta,Levecque,1959-01-23,F,RS,10,sniper,interrogation
Gael,Searl,1996-04-30,F,PT,2,cyber operative,covert diplomacy
Dell,Pont,1980-09-23,F,AR,5,negotiation expert,deep cover
Towney,Hedlestone,1954-08-03,M,BR,4,communications specialist,interrogation
Astrid,Oakey,1986-01-10,F,CU,7,medical specialist,training
Harwilll,Weaving,1957-03-12,M,RU,10,underwater specialist,technical support
Clemmie,Whittlesey,1980-06-01,F,PT,6,undercover agent,infiltration
