0,1,2,3,4,5
2011-10-17,2011-06-18,364 941 8527,Fonte Boa dos Nabos,PT,covert action
2006-04-01,2018-09-19,609 169 4834,Puerto Bello,PH,surveillance
2021-09-04,2028-07-13,911 205 5994,Puerto Bello,PH,covert action
2018-05-02,2008-06-25,634 626 6776,Huifeng,CN,extraction
2015-08-24,2015-03-09,722 286 7931,Dukuhsia,ID,reconnaissance
2006-09-30,2010-06-13,994 371 3733,Tukhlya,UA,reconnaissance
2010-05-11,2034-02-03,998 138 6383,Puerto Colombia,CO,interception
2011-10-25,2010-12-28,562 274 4807,Whittier,US,under review
2011-04-21,2013-05-09,633 227 7566,Ngarus,ID,infiltration
2017-02-19,2007-01-06,130 598 7712,Teresa,PH,interception
2005-02-11,2009-08-02,485 980 4890,Mainit,PH,reconnaissance
2005-12-22,2025-02-28,813 695 6504,Sungaipuntik,ID,reconnaissance
2009-09-13,2016-11-16,784 461 0805,Puerto Bello,PH,under review
2023-04-25,2011-01-03,540 565 8027,Espanola,CA,undercover
2023-10-21,2031-11-18,270 714 1232,Sakura,JP,interception
2013-12-13,2031-01-31,897 898 1010,Granard,IE,active
2006-07-14,2033-04-07,662 344 9292,Barotac Nuevo,PH,covert
2020-05-09,2021-10-12,589 301 0584,Puerto Bello,PH,undercover
2020-12-30,2013-04-14,593 202 3301,Puerto Bello,PH,extraction
2009-06-24,2016-04-04,368 100 1829,Noginsk,RU,delayed
2013-10-04,2011-05-10,204 880 8243,Prabuty,PL,infiltration
2019-12-10,2027-10-20,168 734 8508,Tayum,PH,reconnaissance
2014-01-12,2012-07-09,120 247 1034,Melaka,MY,surveillance
2020-12-11,2028-11-13,600 383 1797,Heshui,CN,active
2019-02-17,2010-08-01,181 239 5172,Yalkhoy-Mokhk,RU,infiltration
2019-06-26,2020-09-17,591 478 9665,Kruhlaye,BY,surveillance
2013-07-19,2013-04-16,877 464 7918,Hebi,CN,interception
2005-12-19,2019-05-10,149 674 0917,Puerto Bello,PH,completed
2017-12-07,2024-09-14,978 602 9558,Yilan,CN,cancelled
2006-06-12,2017-04-15,231 367 5689,Tilburg,NL,extraction
2024-01-05,2030-05-31,810 916 9397,Puerto Bello,PH,undercover
2013-01-24,2021-07-20,211 496 8802,Sun Kunda,GM,rescue
2008-01-01,2008-04-04,640 709 9524,Pingtan,CN,active
2008-03-13,2022-02-28,247 226 6048,Concepcion,PH,completed
2007-02-04,2009-10-22,354 118 1204,Puerto Bello,PH,reconnaissance
2005-05-03,2013-03-20,965 923 7058,Tuhe,CN,extraction
2017-11-12,2011-08-08,189 678 9560,Jibiya,NG,covert action
2010-09-28,2015-06-16,780 533 0500,Dolisie,CG,active
2011-12-31,2027-02-26,549 334 4988,Verkhnyaya Tura,RU,extraction
2020-03-20,2015-07-22,833 703 7595,Dusun Desa Bunter,ID,reconnaissance
2008-08-11,2030-05-06,195 442 8601,Puerto Bello,PH,delayed
2010-02-23,2027-02-22,422 525 2495,Gegernoong,ID,completed
2013-01-10,2027-07-13,432 348 5957,Agoo,PH,surveillance
2012-04-18,2010-10-23,808 317 3027,Puerto Bello,PH,interception
2022-06-22,2015-01-09,283 713 0434,Puerto Bello,PH,surveillance
2010-12-19,2017-07-28,291 849 5840,Manado,ID,surveillance
2006-11-04,2027-11-04,989 201 2865,Yerba Buena,AR,completed
2012-07-06,2022-02-15,503 150 4406,Gazli,UZ,infiltration
2020-11-07,2029-09-26,605 625 1502,Xinchengzi,CN,completed
2005-02-10,2010-10-15,270 686 4736,Lyubim,RU,interception
2016-10-05,2033-02-03,133 906 9539,Keswick,CA,completed
2006-04-20,2007-10-10,534 889 4500,Goris,AM,high priority
2006-09-13,2029-01-23,641 898 9261,Huohua,CN,undercover
2020-02-10,2019-02-04,112 732 7027,Puerto Bello,PH,high priority
2006-09-16,2033-12-22,463 897 0866,Sigeng,CN,rescue
2011-06-17,2010-06-19,209 255 2256,Puerto Bello,PH,compromised
2017-03-14,2029-07-07,884 116 9838,Puerto Bello,PH,under review
2019-04-22,2011-08-17,465 580 9781,Puerto Bello,PH,rescue
2005-07-17,2014-07-04,501 919 4470,Seltjarnarnes,IS,ongoing
2006-08-26,2017-11-28,122 702 9339,Puerto Bello,PH,completed
2010-04-06,2031-11-28,337 903 2102,Marmashen,AM,cancelled
2013-06-07,2022-06-09,141 416 7925,Vilnius,LT,compromised
2023-01-23,2018-01-08,807 813 0959,Zdenci,HR,infiltration
2018-02-27,2018-03-14,278 541 4346,Pili,ID,interception
2007-05-06,2025-03-12,924 460 8425,Karnice,PL,ongoing
2022-10-05,2034-09-25,860 928 8206,Kekeri,ID,completed
2011-04-03,2016-07-01,558 544 8550,Aix-en-Provence,FR,reconnaissance
2023-07-11,2024-03-30,964 998 3315,Kamenka,RU,under review
2018-01-20,2024-01-04,151 308 1688,Paris 18,FR,counterintelligence
2022-10-14,2018-01-24,665 829 6433,Horki,BY,completed
2017-06-02,2023-12-04,479 105 6892,Tanjungbahagia,ID,active
2017-01-17,2033-07-24,914 481 1124,La Esperanza,MX,surveillance
2018-12-12,2017-09-06,873 278 8263,Puerto Bello,PH,undercover
2005-07-21,2022-09-02,736 738 4199,Puerto Bello,PH,surveillance
2017-07-07,2021-05-04,256 506 0104,Puerto Bello,PH,rescue
2011-07-29,2026-03-28,524 995 7265,Wailang,CN,rescue
2018-04-11,2013-04-07,970 759 2552,Paphos,CY,undercover
2019-02-16,2026-04-19,496 391 6811,Vredendal,ZA,covert
2016-09-13,2015-09-11,566 573 3439,Del Pilar,PH,completed
2015-04-20,2013-04-28,127 599 2730,Boavista,PT,counterintelligence
2017-04-13,2017-02-07,489 541 0812,Palestina de los Altos,GT,active
2015-05-15,2020-10-28,120 587 3055,Puerto Bello,PH,under review
2009-07-29,2025-03-17,834 187 3602,Shuiyang,CN,rescue
2007-11-16,2008-10-05,163 779 0452,Zwolle,NL,compromised
2011-08-04,2019-12-02,413 828 9338,Puerto Bello,PH,delayed
2005-06-19,2028-10-20,269 990 3484,Puerto Bello,PH,extraction
2023-01-03,2030-12-16,230 751 6480,Guanajay,CU,compromised
2022-05-20,2020-02-23,178 445 3737,Mangaran,ID,under review
2016-08-15,2022-08-27,973 563 2400,Maribong,PH,surveillance
2018-09-10,2030-07-21,777 186 3761,Haruai,ID,covert action
2010-04-07,2015-04-07,326 615 7487,Paoua,CF,rescue
2009-03-02,2027-04-21,528 679 6433,Zagreb,HR,undercover surveillance
2022-07-13,2019-06-17,818 589 0696,Puerto Bello,PH,high priority
2021-02-07,2019-03-22,603 319 7934,Armenia,HN,delayed
2005-05-30,2028-03-16,650 203 0327,Puerto Bello,PH,high priority
2010-02-28,2021-10-04,754 580 9648,Puerto Bello,PH,counterintelligence
2013-09-07,2034-08-10,844 159 1251,Vila Maior,PT,high priority
2018-08-02,2011-11-24,447 783 8612,Tarusa,RU,cancelled
2014-05-20,2032-11-14,166 398 0677,Yamango,PE,high priority
2018-11-08,2014-06-13,580 415 1502,Puerto Bello,PH,reconnaissance
2006-09-24,2029-04-24,489 145 3641,Haninge,SE,completed
2021-02-22,2031-11-14,338 485 4916,Puerto Bello,PH,undercover
2018-10-11,2025-02-21,756 243 0816,Thayetmyo,MM,extraction
2023-06-11,2032-06-11,164 221 1316,Puerto Bello,PH,high priority
2017-02-20,2033-11-04,894 162 9920,Shifo,CN,rescue
2006-09-08,2010-10-05,499 823 2634,Manis Mekarwangi,ID,counterintelligence
2007-12-21,2008-04-23,514 730 1401,Puerto Bello,PH,covert
2014-04-15,2011-02-05,379 357 8038,Zhaojia,CN,compromised
2007-10-01,2010-12-25,824 113 0499,Gaoping,CN,delayed
2012-07-05,2017-09-11,735 265 3608,Ventspils,LV,under review
2010-10-18,2008-12-29,171 454 0107,Virovitica,HR,ongoing
