0,1,2,3,4,5
2007-06-21,2020-04-03,185 576 5984,Inowroclaw,PL,active
2008-02-08,2028-02-07,949 202 2442,Kameoka,JP,extraction
2006-09-24,2013-04-11,558 336 6756,Niort,FR,interception
2012-05-03,2007-10-20,364 796 5357,Yunmenling,CN,completed
2017-03-05,2014-12-16,179 908 5568,Ban Talat Nua,TH,under review
2018-04-25,2006-12-18,297 562 6135,San Fernando,PH,ongoing
2007-01-15,2026-04-29,319 113 7722,Enschede,NL,active
2011-11-08,2019-10-01,930 318 4715,Iwai,JP,counterintelligence
2016-06-08,2011-10-17,763 960 8639,Badrah,MN,completed
2008-08-20,2030-07-11,896 420 5627,Nanchangshan,CN,undercover surveillance
2012-04-04,2022-12-23,549 710 1526,Husow,PL,delayed
2014-06-21,2034-06-09,407 394 6279,Vecumnieki,LV,rescue
2007-06-16,2019-04-23,259 681 8392,Edea,CM,counterintelligence
2013-11-13,2033-05-02,185 546 5500,Huangshui,CN,high priority
2005-02-18,2021-12-11,627 185 6798,Vohma,EE,covert action
2013-04-03,2021-01-10,211 406 2186,Chengjiao,CN,active
2019-04-27,2031-06-25,153 393 7985,Beidao,CN,extraction
2005-04-13,2015-02-04,890 644 2074,Fullerton,US,covert
2011-09-12,2014-07-04,714 524 2073,Fullerton,US,compromised
2011-11-27,2021-02-20,879 763 0319,Fullerton,US,high priority
2008-01-09,2008-06-11,449 802 1871,Lazaro Cardenas,MX,extraction
2019-12-15,2016-01-02,220 464 7222,Karungdong,PH,completed
2016-05-30,2011-09-16,698 149 0945,Narok,KE,under review
2016-05-09,2023-12-27,874 386 5440,Fullerton,US,surveillance
2016-06-12,2028-03-04,835 698 2756,Vatutino,RU,undercover surveillance
2012-05-18,2009-11-08,811 729 0524,Pitogo,PH,covert
2021-12-07,2026-05-27,468 976 0301,Fullerton,US,undercover surveillance
2009-03-06,2023-10-22,552 151 1107,Andrushivka,UA,cancelled
2015-06-06,2014-06-26,174 294 9486,Turku,FI,surveillance
2013-09-15,2026-10-10,392 591 5824,Fullerton,US,completed
2013-10-20,2011-06-15,593 179 3780,Jiasi,CN,cancelled
